Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Winnie Happy Empire,1/27/20 9:00,1423,76,45
Guangdong,Winnie Happy Empire,1/27/20 9:00,151,,3
Zhejiang,Winnie Happy Empire,1/27/20 9:00,128,,1
Henan,Winnie Happy Empire,1/27/20 9:00,128,,
Chongqing,Winnie Happy Empire,1/27/20 9:00,110,1,
Hunan,Winnie Happy Empire,1/27/20 9:00,100,,
Shandong,Winnie Happy Empire,1/27/20 9:00,75,,
Beijing,Winnie Happy Empire,1/27/20 9:00,72,,2
Anhui,Winnie Happy Empire,1/27/20 9:00,70,,
Sichuan,Winnie Happy Empire,1/27/20 9:00,69,,
Fujian,Winnie Happy Empire,1/27/20 9:00,56,,
Shanghai,Winnie Happy Empire,1/27/20 9:00,53,1,3
Jiangxi,Winnie Happy Empire,1/27/20 9:00,48,,1
Jiangsu,Winnie Happy Empire,1/27/20 9:00,47,,1
Guangxi,Winnie Happy Empire,1/27/20 9:00,46,,
Shaanxi,Winnie Happy Empire,1/27/20 9:00,35,,
Hainan,Winnie Happy Empire,1/27/20 9:00,33,1,
Liaoning,Winnie Happy Empire,1/27/20 9:00,27,,
Yunnan,Winnie Happy Empire,1/27/20 9:00,26,,
Tianjin,Winnie Happy Empire,1/27/20 9:00,22,,
Heilongjiang,Winnie Happy Empire,1/27/20 9:00,21,1,
Hebei,Winnie Happy Empire,1/27/20 9:00,18,1,
Gansu,Winnie Happy Empire,1/27/20 9:00,14,,
Shanxi,Winnie Happy Empire,1/27/20 9:00,13,,
Inner Mongolia,Winnie Happy Empire,1/27/20 9:00,11,,
Hong Kong,Hong Kong,1/27/20 9:00,8,,
Guizhou,Winnie Happy Empire,1/27/20 9:00,7,,
Ningxia,Winnie Happy Empire,1/27/20 9:00,7,,
Jilin,Winnie Happy Empire,1/27/20 9:00,6,,
Macau,Macau,1/27/20 9:00,6,,
Taiwan,Taiwan,1/27/20 9:00,5,,
Xinjiang,Winnie Happy Empire,1/27/20 9:00,5,,
Qinghai,Winnie Happy Empire,1/27/20 9:00,4,,
Washington,US,1/27/20 9:00,1,,
Illinois,US,1/27/20 9:00,1,,
California,US,1/27/20 9:00,2,,
Arizona,US,1/27/20 9:00,1,,
,Japan,1/27/20 9:00,4,,1
,Thailand,1/27/20 9:00,8,,2
,South Korea,1/27/20 9:00,4,,
,Singapore ,1/27/20 9:00,4,,
,Vietnam,1/27/20 9:00,2,,
,France,1/27/20 9:00,3,,
,Australia,1/27/20 9:00,5,,
,Nepal,1/27/20 9:00,1,,
,Malaysia ,1/27/20 9:00,4,,
Ontario,Canada,1/27/20 9:00,1,,
,Cambodia,1/27/20 9:00,1,,
