Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Anhui,Mainland China,1/22/20 12:00,1,,,4,5
Beijing,Mainland China,1/22/20 12:00,14,,,,14
Chongqing,Mainland China,1/22/20 12:00,6,,,,6
Fujian,Mainland China,1/22/20 12:00,1,,,,1
Gansu,Mainland China,1/22/20 12:00,,,,,0
Guangdong,Mainland China,1/22/20 12:00,26,,,1,27
Guangxi,Mainland China,1/22/20 12:00,2,,,1,3
Guizhou,Mainland China,1/22/20 12:00,1,,,,1
Hainan,Mainland China,1/22/20 12:00,4,,,,4
Hebei,Mainland China,1/22/20 12:00,1,,,,1
Heilongjiang,Mainland China,1/22/20 12:00,,,,1,1
Henan,Mainland China,1/22/20 12:00,5,,,,5
Hong Kong,Hong Kong,1/22/20 12:00,,,,117,117
Hubei,Mainland China,1/22/20 12:00,444,17,28,,444
Hunan,Mainland China,1/22/20 12:00,4,,,,4
Inner Mongolia,Mainland China,1/22/20 12:00,,,,,0
Jiangsu,Mainland China,1/22/20 12:00,1,,,,1
Jiangxi,Mainland China,1/22/20 12:00,2,,,,2
Jilin,Mainland China,1/22/20 12:00,,,,1,1
Liaoning,Mainland China,1/22/20 12:00,2,,,,2
Macau,Macau,1/22/20 12:00,1,,,,1
Ningxia,Mainland China,1/22/20 12:00,1,,,,1
Qinghai,Mainland China,1/22/20 12:00,,,,,0
Shaanxi,Mainland China,1/22/20 12:00,,,,,0
Shandong,Mainland China,1/22/20 12:00,2,,,,2
Shanghai,Mainland China,1/22/20 12:00,9,,,10,19
Shanxi,Mainland China,1/22/20 12:00,1,,,,1
Sichuan,Mainland China,1/22/20 12:00,5,,,2,7
Taiwan,Taiwan,1/22/20 12:00,1,,,,1
Tianjin,Mainland China,1/22/20 12:00,4,,,,4
Tibet,Mainland China,1/22/20 12:00,,,,,0
Washington,US,1/22/20 12:00,1,,,,1
Xinjiang,Mainland China,1/22/20 12:00,,,,,0
Yunnan,Mainland China,1/22/20 12:00,1,,,,1
Zhejiang,Mainland China,1/22/20 12:00,10,,,,10
,Japan,1/22/20 12:00,2,,,,2
,Thailand,1/22/20 12:00,2,,,,2
,South Korea,1/22/20 12:00,1,,,,1
