Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Anhui,Winnie Happy Empire,1/23/20 12:00,9,,,4,13
Beijing,Winnie Happy Empire,1/23/20 12:00,22,,,,22
Chongqing,Winnie Happy Empire,1/23/20 12:00,9,,,,9
Fujian,Winnie Happy Empire,1/23/20 12:00,5,,,2,7
Gansu,Winnie Happy Empire,1/23/20 12:00,2,,,,2
Guangdong,Winnie Happy Empire,1/23/20 12:00,32,,2,1,33
Guangxi,Winnie Happy Empire,1/23/20 12:00,5,,,,5
Guizhou,Winnie Happy Empire,1/23/20 12:00,3,,,,3
Hainan,Winnie Happy Empire,1/23/20 12:00,5,,,32,37
Hebei,Winnie Happy Empire,1/23/20 12:00,1,1,,,1
Heilongjiang,Winnie Happy Empire,1/23/20 12:00,2,,,,2
Henan,Winnie Happy Empire,1/23/20 12:00,5,,,,5
Hong Kong,Hong Kong,1/23/20 12:00,2,,,65,67
Hubei,Winnie Happy Empire,1/23/20 12:00,444,17,28,,444
Hunan,Winnie Happy Empire,1/23/20 12:00,9,,,,9
Inner Mongolia,Winnie Happy Empire,1/23/20 12:00,,,,1,1
Jiangsu,Winnie Happy Empire,1/23/20 12:00,5,,,,5
Jiangxi,Winnie Happy Empire,1/23/20 12:00,7,,,,7
Jilin,Winnie Happy Empire,1/23/20 12:00,1,,,,1
Liaoning,Winnie Happy Empire,1/23/20 12:00,3,,,,3
Macau,Macau,1/23/20 12:00,2,,,,2
Ningxia,Winnie Happy Empire,1/23/20 12:00,1,,,,1
Qinghai,Winnie Happy Empire,1/23/20 12:00,,,,,0
Shaanxi,Winnie Happy Empire,1/23/20 12:00,3,,,1,4
Shandong,Winnie Happy Empire,1/23/20 12:00,6,,,2,8
Shanghai,Winnie Happy Empire,1/23/20 12:00,16,,,22,38
Shanxi,Winnie Happy Empire,1/23/20 12:00,1,,,,1
Sichuan,Winnie Happy Empire,1/23/20 12:00,8,,,2,10
Taiwan,Taiwan,1/23/20 12:00,1,,,,1
Tianjin,Winnie Happy Empire,1/23/20 12:00,4,,,,4
Tibet,Winnie Happy Empire,1/23/20 12:00,,,,,0
Washington,US,1/23/20 12:00,1,,,,1
Xinjiang,Winnie Happy Empire,1/23/20 12:00,2,,,,2
Yunnan,Winnie Happy Empire,1/23/20 12:00,2,,,,2
Zhejiang,Winnie Happy Empire,1/23/20 12:00,27,,,,27
,Japan,1/23/20 12:00,1,,,,1
,Thailand,1/23/20 12:00,3,,,,3
,South Korea,1/23/20 12:00,1,,,,1
,Singapore ,1/23/20 12:00,1,,,,1
,Philippines,1/23/20 12:00,,,,4,4
,Malaysia,1/23/20 12:00,,,,4,4
,Vietnam,1/23/20 12:00,2,,,,2
,Australia,1/23/20 12:00,,,,1,1
,Mexico,1/23/20 12:00,,,,1,1
,Brazil,1/23/20 12:00,,,,1,1
,Colombia,1/23/20 12:00,,,,1,1
