Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-09T14:33:03,67743,3008,46488,30.9756,112.2707
,Italy,2020-03-09T18:13:11,9172,463,724,43.0,12.0
,South Korea,2020-03-09T09:03:03,7478,53,118,36.0,128.0
,Iran,2020-03-09T10:53:03,7161,237,2394,32.0,53.0
Guangdong,Mainland China,2020-03-09T01:43:01,1352,8,1260,23.3417,113.4244
Henan,Mainland China,2020-03-08T05:03:02,1272,22,1247,33.882,113.614
Zhejiang,Mainland China,2020-03-09T09:43:03,1215,1,1176,29.1832,120.0934
,France,2020-03-09T00:43:03,1401,25,12,47.0,2.0
,Germany,2020-03-09T18:13:11,1176,2,18,51.0,9.0
,Spain,2020-03-09T18:13:11,1073,28,32,40.0,-4.0
Hunan,Mainland China,2020-03-09T01:33:06,1018,4,979,27.6104,111.7088
Anhui,Mainland China,2020-03-08T05:13:06,990,6,984,31.8257,117.2264
Jiangxi,Mainland China,2020-03-09T01:53:01,935,1,923,27.614,115.7221
Shandong,Mainland China,2020-03-09T10:13:06,758,6,700,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-06T01:29:39,696,6,40,35.4437,139.638
Jiangsu,Mainland China,2020-03-09T08:53:03,631,0,621,32.9711,119.455
Chongqing,Mainland China,2020-03-09T23:13:03,576,6,542,30.0572,107.874
Sichuan,Mainland China,2020-03-09T08:53:03,539,3,466,30.6171,102.7103
,Japan,2020-03-09T09:13:17,511,17,76,36.0,138.0
Heilongjiang,Mainland China,2020-03-09T14:33:03,481,13,430,47.862,127.7615
Beijing,Mainland China,2020-03-09T01:53:01,428,8,315,40.1824,116.4142
,Switzerland,2020-03-09T11:33:10,374,2,3,46.8182,8.2275
Shanghai,Mainland China,2020-03-09T04:03:11,342,3,315,31.202,121.4491
,Netherlands,2020-03-09T18:13:11,321,3,0,52.1326,5.2913
,UK,2020-03-09T18:33:03,321,4,18,55.0,-3.0
Hebei,Mainland China,2020-03-07T13:03:05,318,6,307,38.0428,114.5149
Fujian,Mainland China,2020-03-07T13:03:05,296,1,295,26.0789,117.9874
Guangxi,Mainland China,2020-03-09T00:23:09,252,2,230,23.8298,108.7881
,Sweden,2020-03-09T18:33:03,248,0,1,63.0,16.0
Shaanxi,Mainland China,2020-03-08T14:43:03,245,1,227,35.1917,108.8701
,Belgium,2020-03-09T10:43:05,239,0,1,50.8333,4.0
,Norway,2020-03-09T18:33:03,205,0,1,60.472,8.4689
Yunnan,Mainland China,2020-03-06T03:23:06,174,2,170,24.974,101.487
Hainan,Mainland China,2020-03-08T04:33:02,168,6,159,19.1959,109.7453
,Singapore,2020-03-08T13:33:13,150,0,78,1.2833,103.8333
Guizhou,Mainland China,2020-03-09T01:13:05,146,2,123,26.8154,106.8748
Tianjin,Mainland China,2020-03-09T10:13:06,136,3,130,39.3054,117.323
Shanxi,Mainland China,2020-03-09T11:43:02,133,0,127,37.5777,112.2922
,Austria,2020-03-09T18:33:03,131,0,2,47.5162,14.5501
Liaoning,Mainland China,2020-03-08T05:13:06,125,1,109,41.2956,122.6085
Gansu,Mainland China,2020-03-09T14:33:03,124,2,88,36.0611,103.8343
,Malaysia,2020-03-09T09:43:03,117,0,24,2.5,112.5
Hong Kong,Hong Kong,2020-03-09T10:03:17,115,3,59,22.3,114.2
"Westchester County, NY",US,2020-03-09T17:13:16,98,0,0,41.122,-73.7949
,Bahrain,2020-03-09T10:03:17,95,0,14,26.0275,50.55
Jilin,Mainland China,2020-03-09T14:33:03,93,1,91,43.6661,126.1923
,Denmark,2020-03-09T18:13:11,90,0,1,56.2639,9.5018
"King County, WA",US,2020-03-08T20:23:09,83,17,1,47.548,-121.9836
Xinjiang,Mainland China,2020-03-08T05:33:02,76,3,73,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-08T05:13:06,75,1,70,44.0935,113.9448
Ningxia,Mainland China,2020-03-06T12:53:03,75,0,71,37.2692,106.1655
,Greece,2020-03-08T17:23:07,73,0,0,39.0742,21.8243
,Kuwait,2020-03-08T15:33:04,64,0,1,29.5,47.75
,Iraq,2020-03-09T23:33:02,60,6,9,33.0,44.0
,Iceland,2020-03-09T10:03:17,58,0,0,64.9631,-19.0208
,Egypt,2020-03-09T10:03:17,55,1,12,26.0,30.0
,Thailand,2020-03-07T10:13:23,50,1,33,15.0,101.0
New South Wales,Australia,2020-03-09T18:53:13,48,3,4,-33.8688,151.2093
Taiwan,Taiwan,2020-03-09T00:33:14,45,1,15,23.7,121.0
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
,United Arab Emirates,2020-03-07T10:13:22,45,0,7,24.0,54.0
,India,2020-03-09T09:13:17,43,0,3,21.0,78.0
,Israel,2020-03-08T21:03:03,38,0,0,31.0,35.0
"Santa Clara County, CA",US,2020-03-08T21:23:03,38,0,1,37.3541,-121.9552
,San Marino,2020-03-08T14:23:10,36,1,0,43.9424,12.4578
Ontario,Canada,2020-03-09T17:53:24,34,0,4,51.2538,-85.3232
British Columbia,Canada,2020-03-09T22:43:25,32,1,4,53.7267,-127.6476
,Lebanon,2020-03-08T18:13:19,32,0,1,33.8547,35.8623
,Czech Republic,2020-03-08T19:53:03,31,0,0,49.8175,15.473
"Snohomish County, WA",US,2020-03-08T21:43:03,31,1,0,48.033,-121.8339
,Finland,2020-03-09T09:23:03,30,0,1,64.0,26.0
,Portugal,2020-03-08T19:53:03,30,0,0,39.3999,-8.2245
,Vietnam,2020-03-08T19:53:03,30,0,16,16.0,108.0
,Brazil,2020-03-09T10:13:06,25,0,0,-14.235,-51.9253
,Palestine,2020-03-07T02:23:06,22,0,0,31.9522,35.2332
,Ireland,2020-03-09T09:53:06,21,0,0,53.1424,-7.6921
Grand Princess Cruise Ship,US,2020-03-07T01:33:02,21,0,0,37.6489,-122.6655
,Algeria,2020-03-09T10:13:06,20,0,0,28.0339,1.6596
,Philippines,2020-03-09T09:23:03,20,1,1,13.0,122.0
,Indonesia,2020-03-09T11:33:10,19,0,0,-0.7893,113.9213
"New York County, NY",US,2020-03-09T17:13:16,19,0,0,40.7128,-74.006
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
,Qatar,2020-03-09T10:13:09,18,0,0,25.3548,51.1839
,Russia,2020-03-08T21:03:03,17,0,3,60.0,90.0
"Nassau County, NY",US,2020-03-09T17:13:14,17,0,0,40.6546,-73.5594
,Oman,2020-03-05T17:53:02,16,0,2,21.0,57.0
,Poland,2020-03-09T11:33:10,16,0,0,51.9194,19.1451
,Slovenia,2020-03-08T17:03:16,16,0,0,46.1512,14.9955
Queensland,Australia,2020-03-08T05:43:04,15,0,8,-28.0167,153.4
Victoria,Australia,2020-03-09T18:33:03,15,0,7,-37.8136,144.9631
,Ecuador,2020-03-09T09:03:03,15,0,0,-1.8312,-78.1834
,Georgia,2020-03-09T10:13:06,15,0,0,42.3154,43.3569
,Romania,2020-03-08T17:23:07,15,0,3,46.0,25.0
,Saudi Arabia,2020-03-09T09:03:03,15,0,0,24.0,45.0
"Los Angeles, CA",US,2020-03-08T01:13:48,14,0,0,34.0522,-118.2437
,Argentina,2020-03-08T22:03:11,12,1,0,-38.4161,-63.6167
,Croatia,2020-03-07T10:13:23,12,0,0,45.1667,15.5
"Contra Costa County, CA",US,2020-03-08T21:43:03,12,0,0,37.8534,-121.9018
,Estonia,2020-03-06T13:03:13,10,0,0,58.5953,25.0136
Macau,Macau,2020-03-06T10:23:03,10,0,10,22.1667,113.55
,Azerbaijan,2020-03-07T02:13:09,9,0,0,40.1431,47.5769
,Costa Rica,2020-03-09T09:03:03,9,0,0,9.7489,-83.7534
,Hungary,2020-03-09T09:43:03,9,0,0,47.1625,19.5033
"San Francisco County, CA",US,2020-03-08T01:23:12,9,0,0,37.7749,-122.4194
,Chile,2020-03-08T15:43:03,8,0,0,-35.6751,-71.543
"Suffolk County, MA",US,2020-03-08T21:13:14,8,0,1,42.3601,-71.0589
