FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-09-02 04:28:25,33.93911,67.709953,38193,1407,29231,7559,Afghanistan,98.1187459285768,3.6810137187140013
,,,Albania,2020-09-02 04:28:25,41.1533,20.1683,9606,290,5441,3875,Albania,333.79665021891725,3.0189464917759734
,,,Algeria,2020-09-02 04:28:25,28.0339,1.6596,44833,1518,31493,11822,Algeria,102.23930135481613,3.3858987799165794
,,,Andorra,2020-09-02 04:28:25,42.5063,1.5218,1184,53,908,223,Andorra,1532.3885329709442,4.476351351351352
,,,Angola,2020-09-02 04:28:25,-11.2027,17.8739,2729,109,1084,1536,Angola,8.303346154178502,3.994137046537193
,,,Antigua and Barbuda,2020-09-02 04:28:25,17.0608,-61.7964,94,3,91,0,Antigua and Barbuda,95.98888979658524,3.1914893617021276
,,,Argentina,2020-09-02 04:28:25,-38.4161,-63.6167,428239,8919,308376,110944,Argentina,947.5199419627193,2.082715492984058
,,,Armenia,2020-09-02 04:28:25,40.0691,45.0382,43878,881,38356,4641,Armenia,1480.7470486637235,2.007839919777565
,,Australian Capital Territory,Australia,2020-09-02 04:28:25,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683
,,New South Wales,Australia,2020-09-02 04:28:25,-33.8688,151.2093,4079,52,2994,1033,"New South Wales, Australia",50.246366100024645,1.274822260357931
,,Northern Territory,Australia,2020-09-02 04:28:25,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.436482084690551,0.0
,,Queensland,Australia,2020-09-02 04:28:25,-27.4698,153.0251,1126,6,1084,36,"Queensland, Australia",22.011533574430647,0.5328596802841918
,,South Australia,Australia,2020-09-02 04:28:25,-34.9285,138.6007,463,4,458,1,"South Australia, Australia",26.359237119271285,0.8639308855291576
,,Tasmania,Australia,2020-09-02 04:28:25,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051353874883,5.6521739130434785
,,Victoria,Australia,2020-09-02 04:28:25,-37.8136,144.9631,19224,576,16152,2496,"Victoria, Australia",289.9591245720147,2.9962546816479403
,,Western Australia,Australia,2020-09-02 04:28:25,-31.9505,115.8605,655,9,641,5,"Western Australia, Australia",24.899262525659548,1.3740458015267176
,,,Austria,2020-09-02 04:28:25,47.5162,14.5501,27642,734,23565,3343,Austria,306.91508260792324,2.6553794949714202
,,,Azerbaijan,2020-09-02 04:28:25,40.1431,47.5769,36578,536,33977,2065,Azerbaijan,360.75913474222506,1.4653616928208213
,,,Bahamas,2020-09-02 04:28:25,25.025885,-78.035889,2276,50,801,1425,Bahamas,578.7696313776547,2.196836555360281
,,,Bahrain,2020-09-02 04:28:25,26.0275,50.55,52440,190,49395,2855,Bahrain,3081.8361490447423,0.36231884057971014
,,,Bangladesh,2020-09-02 04:28:25,23.685,90.3563,314946,4316,208177,102453,Bangladesh,191.2363713209127,1.3703936547852649
,,,Barbados,2020-09-02 04:28:25,13.1939,-59.5432,176,7,146,23,Barbados,61.24487161195807,3.977272727272727
,,,Belarus,2020-09-02 04:28:25,53.7098,27.9534,71962,686,70606,670,Belarus,761.5573648095985,0.9532808982518551
,,,Belgium,2020-09-02 04:28:25,50.8333,4.469936,85487,9897,18457,57133,Belgium,737.6171911131482,11.577198872343164
,,,Belize,2020-09-02 04:28:25,17.1899,-88.4976,1050,13,213,824,Belize,264.07055965353936,1.2380952380952381
,,,Benin,2020-09-02 04:28:25,9.3077,2.3158,2145,40,1738,367,Benin,17.693351209804547,1.8648018648018647
,,,Bhutan,2020-09-02 04:28:25,27.5142,90.4336,227,0,142,85,Bhutan,29.418930757945706,0.0
