Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-07T11:13:04,67666,2959,43500,30.9756,112.2707
,South Korea,2020-03-07T10:13:22,7041,44,135,36.0,128.0
,Italy,2020-03-07T17:33:03,5883,233,589,43.0,12.0
,Iran,2020-03-07T17:43:05,5823,145,1669,32.0,53.0
Guangdong,Mainland China,2020-03-07T10:43:02,1352,7,1237,23.3417,113.4244
Henan,Mainland China,2020-03-07T11:23:10,1272,22,1244,33.882,113.614
Zhejiang,Mainland China,2020-03-07T09:03:05,1215,1,1154,29.1832,120.0934
Hunan,Mainland China,2020-03-07T09:03:05,1018,4,960,27.6104,111.7088
Anhui,Mainland China,2020-03-06T03:23:06,990,6,979,31.8257,117.2264
,France,2020-03-07T20:33:02,938,16,12,47.0,2.0
Jiangxi,Mainland China,2020-03-07T01:13:18,935,1,916,27.614,115.7221
,Germany,2020-03-07T17:43:05,799,0,18,51.0,9.0
Shandong,Mainland China,2020-03-07T13:03:05,758,6,627,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-06T01:29:39,696,6,40,35.4437,139.638
Jiangsu,Mainland China,2020-03-07T14:53:02,631,0,606,32.9711,119.455
Chongqing,Mainland China,2020-03-07T23:23:02,576,6,526,30.0572,107.874
Sichuan,Mainland China,2020-03-07T13:03:05,539,3,454,30.6171,102.7103
,Spain,2020-03-07T17:43:05,500,10,30,40.0,-4.0
Heilongjiang,Mainland China,2020-03-07T09:03:05,481,13,403,47.862,127.7615
,Japan,2020-03-07T17:43:05,461,6,76,36.0,138.0
Beijing,Mainland China,2020-03-07T01:03:05,426,8,303,40.1824,116.4142
Shanghai,Mainland China,2020-03-07T03:53:03,342,3,313,31.202,121.4491
Hebei,Mainland China,2020-03-07T13:03:05,318,6,307,38.0428,114.5149
Fujian,Mainland China,2020-03-07T13:03:05,296,1,295,26.0789,117.9874
,Switzerland,2020-03-07T17:43:05,268,1,3,46.8182,8.2275
Guangxi,Mainland China,2020-03-07T14:53:02,252,2,218,23.8298,108.7881
Shaanxi,Mainland China,2020-03-06T10:23:03,245,1,226,35.1917,108.8701
,UK,2020-03-07T17:43:05,206,2,18,55.0,-3.0
,Netherlands,2020-03-07T17:43:05,188,1,0,52.1326,5.2913
Yunnan,Mainland China,2020-03-06T03:23:06,174,2,170,24.974,101.487
,Belgium,2020-03-07T17:53:03,169,0,1,50.8333,4.0
Hainan,Mainland China,2020-03-05T06:13:10,168,6,158,19.1959,109.7453
,Sweden,2020-03-07T17:53:03,161,0,0,63.0,16.0
,Norway,2020-03-07T17:53:03,147,0,0,60.472,8.4689
Guizhou,Mainland China,2020-03-07T00:43:01,146,2,115,26.8154,106.8748
,Singapore,2020-03-07T17:53:03,138,0,78,1.2833,103.8333
Tianjin,Mainland China,2020-03-05T03:33:27,136,3,128,39.3054,117.323
Shanxi,Mainland China,2020-03-05T14:53:03,133,0,126,37.5777,112.2922
Liaoning,Mainland China,2020-03-07T14:53:02,125,1,107,41.2956,122.6085
Gansu,Mainland China,2020-03-07T15:03:06,120,2,87,36.0611,103.8343
Hong Kong,Hong Kong,2020-03-07T10:13:22,108,2,51,22.3,114.2
Jilin,Mainland China,2020-03-06T10:23:03,93,1,90,43.6661,126.1923
,Malaysia,2020-03-07T17:53:03,93,0,23,2.5,112.5
,Bahrain,2020-03-07T18:13:26,85,0,4,26.0275,50.55
,Austria,2020-03-07T17:53:03,79,0,0,47.5162,14.5501
Xinjiang,Mainland China,2020-03-07T09:03:05,76,3,72,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-07T03:43:01,75,1,67,44.0935,113.9448
Ningxia,Mainland China,2020-03-06T12:53:03,75,0,71,37.2692,106.1655
"King County, WA",US,2020-03-07T20:23:03,71,15,1,47.548,-121.9836
,Kuwait,2020-03-07T18:13:26,61,0,0,29.5,47.75
"Westchester County, NY",US,2020-03-07T18:23:05,57,0,0,41.122,-73.7949
,Iraq,2020-03-07T18:13:27,54,4,0,33.0,44.0
,Iceland,2020-03-07T18:13:27,50,0,0,64.9631,-19.0208
,Thailand,2020-03-07T10:13:23,50,1,31,15.0,101.0
,Greece,2020-03-07T18:13:27,46,0,0,39.0742,21.8243
Taiwan,Taiwan,2020-03-06T12:43:03,45,1,12,23.7,121.0
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
,United Arab Emirates,2020-03-07T10:13:22,45,0,7,24.0,54.0
,India,2020-03-07T18:13:27,34,0,3,21.0,78.0
"Santa Clara County, CA",US,2020-03-07T23:43:03,32,0,1,37.3541,-121.9552
New South Wales,Australia,2020-03-07T02:03:30,28,1,4,-33.8688,151.2093
"Toronto, ON",Canada,2020-03-07T03:53:03,27,0,3,43.6532,-79.3832
"Snohomish County, WA",US,2020-03-07T20:23:03,27,1,0,48.033,-121.8339
,Denmark,2020-03-06T13:03:12,23,0,1,56.2639,9.5018
,San Marino,2020-03-07T02:13:08,23,1,0,43.9424,12.4578
,Lebanon,2020-03-06T20:33:03,22,0,1,33.8547,35.8623
,Palestine,2020-03-07T02:23:06,22,0,0,31.9522,35.2332
British Columbia,Canada,2020-03-07T03:53:03,21,0,4,49.2827,-123.1207
,Israel,2020-03-06T20:33:03,25,0,0,31.0,35.0
Grand Princess Cruise Ship,US,2020-03-07T01:33:02,21,0,0,37.6489,-122.6655
,Portugal,2020-03-07T18:33:02,20,0,0,39.3999,-8.2245
,Czech Republic,2020-03-07T02:03:29,19,0,0,49.8175,15.473
,Ireland,2020-03-06T20:43:03,18,0,0,53.1424,-7.6921
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
,Vietnam,2020-03-07T10:13:23,18,0,16,16.0,108.0
,Algeria,2020-03-06T01:29:39,17,0,0,28.0339,1.6596
,Oman,2020-03-05T17:53:02,16,0,2,21.0,57.0
,Egypt,2020-03-06T13:03:13,15,0,1,26.0,30.0
,Finland,2020-03-06T13:03:12,15,0,1,64.0,26.0
"Los Angeles, CA",US,2020-03-07T23:53:03,14,0,0,34.0522,-118.2437
Queensland,Australia,2020-03-05T17:33:06,13,0,8,-28.0167,153.4
,Brazil,2020-03-06T20:33:03,13,0,0,-14.235,-51.9253
,Ecuador,2020-03-05T17:53:02,13,0,0,-1.8312,-78.1834
,Russia,2020-03-06T20:43:03,13,0,2,60.0,90.0
,Croatia,2020-03-07T10:13:23,12,0,0,45.1667,15.5
Victoria,Australia,2020-03-07T02:03:30,11,0,7,-37.8136,144.9631
"New York County, NY",US,2020-03-07T18:23:05,11,0,0,40.7128,-74.006
,Estonia,2020-03-06T13:03:13,10,0,0,58.5953,25.0136
Macau,Macau,2020-03-06T10:23:03,10,0,10,22.1667,113.55
,Azerbaijan,2020-03-07T02:13:09,9,0,0,40.1431,47.5769
,Romania,2020-03-07T10:13:23,9,0,3,46.0,25.0
"San Francisco County, CA",US,2020-03-07T23:53:03,9,0,0,37.7749,-122.4194
,Argentina,2020-03-07T02:13:09,8,0,0,-38.4161,-63.6167
,Qatar,2020-03-04T00:03:15,8,0,0,25.3548,51.1839
South Australia,Australia,2020-03-06T04:23:08,7,0,2,-34.9285,138.6007
,Slovenia,2020-03-06T15:33:03,7,0,0,46.1512,14.9955
,Belarus,2020-03-04T12:43:03,6,0,0,53.7098,27.9534
,Mexico,2020-03-06T16:43:04,6,0,1,23.0,-102.0
,Pakistan,2020-03-06T13:03:12,6,0,0,30.3753,69.3451
,Philippines,2020-03-07T10:13:23,6,1,1,13.0,122.0
"Cook County, IL",US,2020-03-07T01:53:03,6,0,2,41.7377,-87.6976
,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258
,New Zealand,2020-03-07T02:03:29,5,0,0,-40.9006,174.886
,Poland,2020-03-06T16:43:04,5,0,0,51.9194,19.1451
