FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-10-27 04:24:45,33.93911,67.709953,40937,1520,34150,5269,Afghanistan,105.15988852440435,3.7081368932750323
,,,Albania,2020-10-27 04:24:45,41.1533,20.1683,19445,480,10705,8260,Albania,675.689763013413,2.4685008999742863
,,,Algeria,2020-10-27 04:24:45,28.0339,1.6596,56419,1922,39273,15224,Algeria,128.66056572474227,3.406653786844857
,,,Andorra,2020-10-27 04:24:45,42.5063,1.5218,4325,72,2957,1296,Andorra,5597.618585387951,1.6647398843930636
,,,Angola,2020-10-27 04:24:45,-11.2027,17.8739,9644,270,3530,5844,Angola,29.343155115755767,2.799668187474077
,,,Antigua and Barbuda,2020-10-27 04:24:45,17.0608,-61.7964,124,3,108,13,Antigua and Barbuda,126.62364185932522,2.4193548387096775
,,,Argentina,2020-10-27 04:24:45,-38.4161,-63.6167,1102301,29301,909586,163414,Argentina,2438.9468954145873,2.6581668709363413
,,,Armenia,2020-10-27 04:24:45,40.0691,45.0382,78810,1196,51162,26452,Armenia,2659.594213619309,1.517573911940109
,,Australian Capital Territory,Australia,2020-10-27 04:24:45,-35.4735,149.0124,114,3,110,1,"Australian Capital Territory, Australia",26.629292221443592,2.6315789473684212
,,New South Wales,Australia,2020-10-27 04:24:45,-33.8688,151.2093,4398,53,0,1198,"New South Wales, Australia",54.1759053954176,1.205093224192815
,,Northern Territory,Australia,2020-10-27 04:24:45,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.436482084690551,0.0
,,Queensland,Australia,2020-10-27 04:24:45,-27.4698,153.0251,1167,6,1157,4,"Queensland, Australia",22.813019255204768,0.5141388174807198
,,South Australia,Australia,2020-10-27 04:24:45,-34.9285,138.6007,494,4,478,12,"South Australia, Australia",28.124110446911477,0.8097165991902834
,,Tasmania,Australia,2020-10-27 04:24:45,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051353874883,5.6521739130434785
,,Victoria,Australia,2020-10-27 04:24:45,-37.8136,144.9631,20341,817,19370,154,"Victoria, Australia",306.80704083017844,4.0165183619291085
,,Western Australia,Australia,2020-10-27 04:24:45,-31.9505,115.8605,762,9,700,53,"Western Australia, Australia",28.966775640538284,1.1811023622047243
,,,Austria,2020-10-27 04:24:45,47.5162,14.5501,83267,992,59036,23239,Austria,924.531444306271,1.1913483132573528
,,,Azerbaijan,2020-10-27 04:24:45,40.1431,47.5769,50486,679,41410,8397,Azerbaijan,497.9300584120503,1.344927306580042
,,,Bahamas,2020-10-27 04:24:45,25.025885,-78.035889,6410,132,3948,2330,Bahamas,1630.0146472455042,2.059282371294852
