Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-02T15:03:23,67103,2803,33934,30.9756,112.2707
,South Korea,2020-03-02T20:23:16,4335,28,30,36.0,128.0
,Italy,2020-03-02T20:23:16,2036,52,149,43.0,12.0
,Iran,2020-03-02T20:23:16,1501,66,291,32.0,53.0
Guangdong,Mainland China,2020-03-02T15:03:23,1350,7,1059,23.3417,113.4244
Henan,Mainland China,2020-03-02T11:43:03,1272,22,1205,33.882,113.614
Zhejiang,Mainland China,2020-03-02T11:43:03,1206,1,1069,29.1832,120.0934
Hunan,Mainland China,2020-03-02T11:43:03,1018,4,887,27.6104,111.7088
Anhui,Mainland China,2020-03-02T15:03:23,990,6,917,31.8257,117.2264
Jiangxi,Mainland China,2020-03-02T01:33:02,935,1,850,27.614,115.7221
Shandong,Mainland China,2020-03-02T08:03:12,758,6,460,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-02T14:33:03,705,6,10,35.4437,139.638
Jiangsu,Mainland China,2020-03-02T12:53:02,631,0,543,32.9711,119.455
Chongqing,Mainland China,2020-03-02T23:23:02,576,6,469,30.0572,107.874
Sichuan,Mainland China,2020-03-02T15:03:23,538,3,386,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-02T12:53:02,480,13,356,47.862,127.7615
Beijing,Mainland China,2020-03-02T02:13:16,414,8,282,40.1824,116.4142
Shanghai,Mainland China,2020-03-02T04:03:13,337,3,292,31.202,121.4491
Hebei,Mainland China,2020-03-02T09:43:05,318,6,296,38.0428,114.5149
Fujian,Mainland China,2020-03-02T12:53:02,296,1,255,26.0789,117.9874
,Japan,2020-03-02T20:33:02,274,6,32,36.0,138.0
Guangxi,Mainland China,2020-03-02T12:53:02,252,2,192,23.8298,108.7881
Shaanxi,Mainland China,2020-03-02T08:03:12,245,1,216,35.1917,108.8701
,France,2020-03-02T20:33:02,191,3,12,47.0,2.0
Yunnan,Mainland China,2020-03-02T06:23:04,174,2,168,24.974,101.487
Hainan,Mainland China,2020-03-02T02:03:18,168,5,151,19.1959,109.7453
,Germany,2020-03-02T20:33:02,159,0,16,51.0,9.0
Guizhou,Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-01T12:43:02,136,3,111,39.3054,117.323
Shanxi,Mainland China,2020-03-02T23:23:02,133,0,119,37.5777,112.2922
Liaoning,Mainland China,2020-03-01T12:23:06,122,1,103,41.2956,122.6085
,Spain,2020-03-02T14:43:05,120,0,2,40.0,-4.0
,Singapore,2020-03-02T20:33:02,108,0,78,1.2833,103.8333
Hong Kong,Hong Kong,2020-03-02T23:53:02,100,2,36,22.3,114.2
Jilin,Mainland China,2020-03-02T15:03:23,93,1,83,43.6661,126.1923
Gansu,Mainland China,2020-03-02T15:03:23,91,2,85,36.0611,103.8343
Xinjiang,Mainland China,2020-03-02T15:43:31,76,3,66,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-02T10:23:04,75,0,54,44.0935,113.9448
Ningxia,Mainland China,2020-03-02T01:33:02,74,0,69,37.2692,106.1655
,Kuwait,2020-03-02T20:33:02,56,0,0,29.5,47.75
,Bahrain,2020-03-02T20:33:02,49,0,0,26.0275,50.55
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
,Thailand,2020-03-02T06:23:04,43,1,31,15.0,101.0
,Switzerland,2020-03-02T22:33:09,42,0,0,46.8182,8.2275
Taiwan,Taiwan,2020-03-02T08:03:12,41,1,12,23.7,121.0
,UK,2020-03-02T20:33:02,40,0,8,55.0,-3.0
,Malaysia,2020-03-01T12:53:02,29,0,18,2.5,112.5
,Iraq,2020-03-02T20:53:02,26,0,0,33.0,44.0
,Norway,2020-03-02T20:53:02,25,0,0,60.472,8.4689
,United Arab Emirates,2020-02-29T12:33:03,21,0,5,24.0,54.0
,Austria,2020-03-02T21:23:04,18,0,0,47.5162,14.5501
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
,Netherlands,2020-03-02T20:53:02,18,0,0,52.1326,5.2913
"Toronto, ON",Canada,2020-03-02T20:53:02,17,0,2,43.6532,-79.3832
,Vietnam,2020-02-25T08:53:02,16,0,16,16.0,108.0
,Sweden,2020-03-02T20:53:02,15,0,0,63.0,16.0
"King County, WA",US,2020-03-02T20:23:16,14,5,1,47.548,-121.9836
,Lebanon,2020-03-02T20:53:02,13,0,0,33.8547,35.8623
,Israel,2020-03-01T23:23:02,10,0,1,31.0,35.0
Macau,Macau,2020-02-27T12:43:02,10,0,8,22.1667,113.55
Queensland,Australia,2020-02-29T02:03:10,9,0,1,-28.0167,153.4
Victoria,Australia,2020-03-02T00:53:03,9,0,4,-37.8136,144.9631
"Santa Clara, CA",US,2020-03-02T20:33:02,9,0,1,37.3541,-121.9552
,Belgium,2020-03-02T20:53:02,8,0,1,50.8333,4.0
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,49.2827,-123.1207
,San Marino,2020-03-02T01:03:12,8,0,0,43.9424,12.4578
,Croatia,2020-03-01T23:33:03,7,0,0,45.1,15.2
,Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243
New South Wales,Australia,2020-03-01T23:33:03,6,0,4,-33.8688,151.2093
,Ecuador,2020-03-01T23:33:03,6,0,0,-1.8312,-78.1834
,Finland,2020-03-01T23:23:02,6,0,1,64.0,26.0
,Iceland,2020-03-02T22:33:09,6,0,0,64.9631,-19.0208
,Oman,2020-02-29T12:33:03,6,0,1,21.0,57.0
,India,2020-03-02T22:33:09,5,0,3,21.0,78.0
,Mexico,2020-03-01T23:33:03,5,0,0,23.0,-102.0
,Denmark,2020-03-01T23:33:03,4,0,0,56.2639,9.5018
,Pakistan,2020-02-29T18:03:05,4,0,0,30.3753,69.3451
"Cook County, IL",US,2020-03-02T20:33:02,4,0,2,41.7377,-87.6976
"Snohomish County, WA",US,2020-03-02T20:53:02,4,1,0,48.033,-121.8339
,Algeria,2020-03-02T00:53:03,3,0,0,28.0339,1.6596
South Australia,Australia,2020-02-29T02:03:10,3,0,2,-34.9285,138.6007
,Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769
,Czech Republic,2020-03-02T16:33:02,3,0,0,49.8175,15.473
,Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569
,Philippines,2020-02-12T07:43:02,3,1,1,13.0,122.0
,Qatar,2020-03-01T23:33:03,3,0,0,25.3548,51.1839
,Romania,2020-02-28T15:33:03,3,0,0,45.9432,24.9668
,Russia,2020-03-02T21:23:04,3,0,2,60.0,90.0
Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605
,Brazil,2020-02-29T21:03:05,2,0,0,-14.235,-51.9253
,Egypt,2020-03-01T23:33:03,2,0,1,26.0,30.0
,Indonesia,2020-03-02T18:03:04,2,0,0,-0.7893,113.9213
,Portugal,2020-03-02T22:43:02,2,0,0,39.3999,-8.2245
"Portland, OR",US,2020-03-02T03:33:08,2,0,0,45.5051,-122.675
"Providence, RI",US,2020-03-02T03:43:02,2,0,0,41.824,-71.4128
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611
,Afghanistan,2020-02-24T23:33:02,1,0,0,33.0,65.0
,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
Tasmania,Australia,2020-03-02T20:53:02,1,0,0,-41.4545,145.9707
,Belarus,2020-02-28T16:23:03,1,0,0,53.7098,27.9534
,Cambodia,2020-02-12T07:43:02,1,0,1,11.55,104.9167
" Montreal, QC",Canada,2020-02-28T05:23:07,1,0,0,45.5017,-73.5673
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453
,Dominican Republic,2020-03-02T16:33:02,1,0,0,18.7357,-70.1627
,Estonia,2020-02-27T16:23:03,1,0,0,58.5953,25.0136
,Ireland,2020-03-01T07:13:07,1,0,0,53.1424,-7.6921
,Latvia,2020-03-02T20:13:49,1,0,0,56.8796,24.6032
,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
,Luxembourg,2020-03-01T07:13:07,1,0,0,49.8153,6.1296
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
,Morocco,2020-03-02T22:33:09,1,0,0,31.7917,-7.0926
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.25
,New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.886
,Nigeria,2020-02-28T16:23:03,1,0,0,9.082,8.6753
,North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453
,Saudi Arabia,2020-03-02T23:53:02,1,0,0,24.0,45.0
,Senegal,2020-03-02T20:23:16,1,0,0,14.4974,-14.4524
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0,81.0
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589
"Grafton County, NH",US,2020-03-02T20:33:02,1,0,0,43.9088,-71.826
"Hillsborough, FL",US,2020-03-02T03:13:25,1,0,0,27.9904,-82.3018
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012
"New York City, NY",US,2020-03-02T01:53:03,1,0,0,40.7128,-74.006
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531
"Placer County, CA",US,2020-03-02T23:53:02,1,0,0,39.0916,-120.8039
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
"San Mateo, CA",US,2020-03-02T20:43:02,1,0,0,37.563,-122.3255
"Sarasota, FL",US,2020-03-02T03:23:06,1,0,0,27.3364,-82.5307
"Sonoma County, CA",US,2020-03-02T20:53:02,1,0,0,38.578,-122.9888
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94
"Umatilla, OR",US,2020-03-02T20:23:16,1,0,0,45.775,-118.7606
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
