FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-09-18 05:05:00,33.93911,67.709953,38872,1436,32505,4931,Afghanistan,99.85526997,3.694175756
,,,Albania,2020-09-18 05:05:00,41.1533,20.1683,11948,347,6788,4813,Albania,415.1782612,2.904251758
,,,Algeria,2020-09-18 05:05:00,28.0339,1.6596,49194,1654,34675,12865,Algeria,112.1843328,3.362198642
,,,Andorra,2020-09-18 05:05:00,42.5063,1.5218,1483,53,1054,376,Andorra,1919.368407,3.573836817
,,,Angola,2020-09-18 05:05:00,-11.2027,17.8739,3789,144,1405,2240,Angola,11.5285374,3.800475059
,,,Antigua and Barbuda,2020-09-18 05:05:00,17.0608,-61.7964,95,3,91,1,Antigua and Barbuda,97.0100482,3.157894737
,,,Argentina,2020-09-18 05:05:00,-38.4161,-63.6167,601713,12460,456347,132906,Argentina,1331.347838,2.070754662
,,,Armenia,2020-09-18 05:05:00,40.0691,45.0382,46671,925,42231,3515,Armenia,1575.002177,1.981958818
,,Australian Capital Territory,Australia,2020-09-18 05:05:00,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.39570194,2.654867257
,,New South Wales,Australia,2020-09-18 05:05:00,-33.8688,151.2093,4196,52,2994,1150,"New South Wales, Australia",51.68760779,1.2392755
,,Northern Territory,Australia,2020-09-18 05:05:00,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.43648208,0.0
,,Queensland,Australia,2020-09-18 05:05:00,-27.4698,153.0251,1150,6,1112,32,"Queensland, Australia",22.48069592,0.52173913
,,South Australia,Australia,2020-09-18 05:05:00,-34.9285,138.6007,466,4,462,0,"South Australia, Australia",26.53003131,0.858369099
,,Tasmania,Australia,2020-09-18 05:05:00,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051354,5.652173913
,,Victoria,Australia,2020-09-18 05:05:00,-37.8136,144.9631,20012,750,18278,984,"Victoria, Australia",301.8446734,3.747751349
,,Western Australia,Australia,2020-09-18 05:05:00,-31.9505,115.8605,661,9,648,4,"Western Australia, Australia",25.12734737,1.361573374
,,,Austria,2020-09-18 05:05:00,47.5162,14.5501,35853,758,28044,7051,Austria,398.083585,2.114188492
,,,Azerbaijan,2020-09-18 05:05:00,40.1431,47.5769,38777,571,36289,1917,Azerbaijan,382.4472898,1.472522372
,,,Bahamas,2020-09-18 05:05:00,25.025885,-78.035889,3177,69,1626,1482,Bahamas,807.8871348,2.171860246
,,,Bahrain,2020-09-18 05:05:00,26.0275,50.55,63189,217,56087,6885,Bahrain,3713.542037,0.343414202
,,,Bangladesh,2020-09-18 05:05:00,23.685,90.3563,344264,4859,250412,88993,Bangladesh,209.0383689,1.41141682
,,,Barbados,2020-09-18 05:05:00,13.1939,-59.5432,185,7,171,7,Barbados,64.37671164,3.783783784
,,,Belarus,2020-09-18 05:05:00,53.7098,27.9534,74987,771,72967,1249,Belarus,793.570247,1.028178218
,,,Belgium,2020-09-18 05:05:00,50.8333,4.469936,97976,9936,18854,69186,Belgium,845.3774482,10.14125908
,,,Belize,2020-09-18 05:05:00,17.1899,-88.4976,1567,19,742,806,Belize,394.0938733,1.212507977
,,,Benin,2020-09-18 05:05:00,9.3077,2.3158,2280,40,1950,290,Benin,18.80691877,1.754385965
,,,Bhutan,2020-09-18 05:05:00,27.5142,90.4336,246,0,175,71,Bhutan,31.88130822,0.0
,,,Bolivia,2020-09-18 05:05:00,-16.2902,-63.5887,129419,7511,87716,34192,Bolivia,1108.701092,5.80363007
,,,Bosnia and Herzegovina,2020-09-18 05:05:00,43.9159,17.6791,24605,747,17219,6639,Bosnia and Herzegovina,749.9660907,3.035968299
,,,Botswana,2020-09-18 05:05:00,-22.3285,24.6849,2567,13,624,1930,Botswana,109.1585606,0.506427737
,,Acre,Brazil,2020-09-18 05:05:00,-9.0238,-70.812,26716,646,23813,2257,"Acre, Brazil",3029.248187,2.418026651
,,Alagoas,Brazil,2020-09-18 05:05:00,-9.5713,-36.782,83035,2002,79751,1282,"Alagoas, Brazil",2488.046679,2.411031493
,,Amapa,Brazil,2020-09-18 05:05:00,0.902,-52.003,46372,688,34389,11295,"Amapa, Brazil",5483.067311,1.483653929
,,Amazonas,Brazil,2020-09-18 05:05:00,-3.4168,-65.8561,129501,3931,108692,16878,"Amazonas, Brazil",3124.573994,3.035497795
,,Bahia,Brazil,2020-09-18 05:05:00,-12.5797,-41.7007,289655,6132,276502,7021,"Bahia, Brazil",1947.513976,2.11700126
,,Ceara,Brazil,2020-09-18 05:05:00,-5.4984,-39.3206,231438,8774,205521,17143,"Ceara, Brazil",2534.341034,3.791080116
,,Distrito Federal,Brazil,2020-09-18 05:05:00,-15.7998,-47.8645,180844,3022,168653,9169,"Distrito Federal, Brazil",5997.609499,1.671053505
,,Espirito Santo,Brazil,2020-09-18 05:05:00,-19.1834,-40.3089,122471,3399,112111,6961,"Espirito Santo, Brazil",3047.565725,2.775350899
,,Goias,Brazil,2020-09-18 05:05:00,-15.827,-49.8362,176801,3995,167213,5593,"Goias, Brazil",2519.12343,2.259602604
,,Maranhao,Brazil,2020-09-18 05:05:00,-4.9609,-45.2744,165499,3622,155396,6481,"Maranhao, Brazil",2339.148638,2.188532861
,,Mato Grosso,Brazil,2020-09-18 05:05:00,-12.6819,-56.9211,110147,3178,90020,16949,"Mato Grosso, Brazil",3161.08695,2.885235186
,,Mato Grosso do Sul,Brazil,2020-09-18 05:05:00,-20.7722,-54.7852,61794,1133,55022,5639,"Mato Grosso do Sul, Brazil",2223.616816,1.833511344
,,Minas Gerais,Brazil,2020-09-18 05:05:00,-18.5122,-44.555,262001,6500,227667,27834,"Minas Gerais, Brazil",1237.675784,2.480906561
,,Para,Brazil,2020-09-18 05:05:00,-1.9981,-54.9306,218458,6421,203240,8797,"Para, Brazil",2539.36334,2.939237748
,,Paraiba,Brazil,2020-09-18 05:05:00,-7.24,-36.782,115359,2670,88042,24647,"Paraiba, Brazil",2870.964507,2.314513822
,,Parana,Brazil,2020-09-18 05:05:00,-25.2521,-52.0215,159799,4018,112975,42806,"Parana, Brazil",1397.582657,2.514408726
