FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-09-23 04:23:00,33.93911,67.709953,39096,1445,32576,5075,Afghanistan,100.4306862,3.696030284
,,,Albania,2020-09-23 04:23:00,41.1533,20.1683,12666,367,7042,5257,Albania,440.1278755,2.897520922
,,,Algeria,2020-09-23 04:23:00,28.0339,1.6596,50214,1689,35307,13218,Algeria,114.5103892,3.363603776
,,,Andorra,2020-09-23 04:23:00,42.5063,1.5218,1681,53,1199,429,Andorra,2175.629328,3.152885187
,,,Angola,2020-09-23 04:23:00,-11.2027,17.8739,4236,155,1462,2619,Angola,12.88859447,3.65911237
,,,Antigua and Barbuda,2020-09-23 04:23:00,17.0608,-61.7964,96,3,92,1,Antigua and Barbuda,98.0312066,3.125
,,,Argentina,2020-09-23 04:23:00,-38.4161,-63.6167,652174,13952,517228,120994,Argentina,1442.99765,2.139306381
,,,Armenia,2020-09-23 04:23:00,40.0691,45.0382,47667,938,42676,4053,Armenia,1608.614102,1.967818407
,,Australian Capital Territory,Australia,2020-09-23 04:23:00,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.39570194,2.654867257
,,New South Wales,Australia,2020-09-23 04:23:00,-33.8688,151.2093,4212,53,3107,1052,"New South Wales, Australia",51.88470067,1.258309592
,,Northern Territory,Australia,2020-09-23 04:23:00,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.43648208,0.0
,,Queensland,Australia,2020-09-23 04:23:00,-27.4698,153.0251,1153,6,1124,23,"Queensland, Australia",22.53934122,0.520381613
,,South Australia,Australia,2020-09-23 04:23:00,-34.9285,138.6007,466,4,462,0,"South Australia, Australia",26.53003131,0.858369099
,,Tasmania,Australia,2020-09-23 04:23:00,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051354,5.652173913
,,Victoria,Australia,2020-09-23 04:23:00,-37.8136,144.9631,20100,771,18628,701,"Victoria, Australia",303.1719935,3.835820896
,,Western Australia,Australia,2020-09-23 04:23:00,-31.9505,115.8605,665,9,650,6,"Western Australia, Australia",25.27940394,1.353383459
,,,Austria,2020-09-23 04:23:00,47.5162,14.5501,39303,771,30312,8220,Austria,436.3896785,1.961682314
,,,Azerbaijan,2020-09-23 04:23:00,40.1431,47.5769,39378,578,36949,1851,Azerbaijan,388.3747938,1.467824674
,,,Bahamas,2020-09-23 04:23:00,25.025885,-78.035889,3467,77,1871,1519,Bahamas,881.6319473,2.220940294
,,,Bahrain,2020-09-23 04:23:00,26.0275,50.55,66402,227,59367,6808,Bahrain,3902.366208,0.341857173
,,,Bangladesh,2020-09-23 04:23:00,23.685,90.3563,352178,5007,260790,86381,Bangladesh,213.8437789,1.421724242
,,,Barbados,2020-09-23 04:23:00,13.1939,-59.5432,189,7,173,9,Barbados,65.76864054,3.703703704
,,,Belarus,2020-09-23 04:23:00,53.7098,27.9534,76104,791,73386,1927,Belarus,805.3912022,1.039367182
,,,Belgium,2020-09-23 04:23:00,50.8333,4.469936,105226,9955,19039,76232,Belgium,907.9334466,9.460589588
,,,Belize,2020-09-23 04:23:00,17.1899,-88.4976,1635,21,967,647,Belize,411.1955857,1.28440367
,,,Benin,2020-09-23 04:23:00,9.3077,2.3158,2294,40,1954,300,Benin,18.92239985,1.743679163
,,,Bhutan,2020-09-23 04:23:00,27.5142,90.4336,261,0,195,66,Bhutan,33.82529043,0.0
