FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-10-30 04:24:49,33.93911,67.709953,41268,1534,34239,5497,Afghanistan,106.01016878679728,3.7123194727149365
,,,Albania,2020-10-30 04:24:49,41.1533,20.1683,20315,499,11007,8809,Albania,705.9211897977623,2.4563130691607187
,,,Algeria,2020-10-30 04:24:49,28.0339,1.6596,57332,1949,39635,15748,Algeria,130.74261426347374,3.399497662736343
,,,Andorra,2020-10-30 04:24:49,42.5063,1.5218,4567,73,3260,1234,Andorra,5910.8263767553235,1.5984234727392161
,,,Angola,2020-10-30 04:24:49,-11.2027,17.8739,10269,275,3736,6258,Angola,31.244800900424714,2.677962800662187
,,,Antigua and Barbuda,2020-10-30 04:24:49,17.0608,-61.7964,124,3,115,6,Antigua and Barbuda,126.62364185932522,2.4193548387096775
,,,Argentina,2020-10-30 04:24:49,-38.4161,-63.6167,1143800,30442,946134,167224,Argentina,2530.76742103582,2.6614792795943347
,,,Armenia,2020-10-30 04:24:49,40.0691,45.0382,85034,1272,53257,30505,Armenia,2869.6350001383626,1.4958722393395583
,,Australian Capital Territory,Australia,2020-10-30 04:24:49,-35.4735,149.0124,114,3,111,0,"Australian Capital Territory, Australia",26.629292221443592,2.6315789473684212
,,New South Wales,Australia,2020-10-30 04:24:49,-33.8688,151.2093,4417,53,3148,1216,"New South Wales, Australia",54.40995319044099,1.199909440796921
,,Northern Territory,Australia,2020-10-30 04:24:49,-12.4634,130.8456,37,0,33,4,"Northern Territory, Australia",15.06514657980456,0.0
,,Queensland,Australia,2020-10-30 04:24:49,-27.4698,153.0251,1172,6,1159,7,"Queensland, Australia",22.91076141139673,0.5119453924914675
,,South Australia,Australia,2020-10-30 04:24:49,-34.9285,138.6007,496,4,482,10,"South Australia, Australia",28.237973242243093,0.8064516129032258
,,Tasmania,Australia,2020-10-30 04:24:49,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051353874883,5.6521739130434785
,,Victoria,Australia,2020-10-30 04:24:49,-37.8136,144.9631,20347,819,19381,147,"Victoria, Australia",306.897539932729,4.025163414754018
,,Western Australia,Australia,2020-10-30 04:24:49,-31.9505,115.8605,766,9,708,49,"Western Australia, Australia",29.11883220558048,1.174934725848564
,,,Austria,2020-10-30 04:24:49,47.5162,14.5501,93949,1056,63366,29527,Austria,1043.1359921833364,1.124014092752451
,,,Azerbaijan,2020-10-30 04:24:49,40.1431,47.5769,53152,708,42516,9928,Azerbaijan,524.2241109360475,1.3320288982540638
,,,Bahamas,2020-10-30 04:24:49,25.025885,-78.035889,6607,138,4257,2212,Bahamas,1680.1102612092113,2.0886938095958834
,,,Bahrain,2020-10-30 04:24:49,26.0275,50.55,81262,317,78102,2843,Bahrain,4775.670654913689,0.3900962319411287
,,,Bangladesh,2020-10-30 04:24:49,23.685,90.3563,404760,5886,321281,77593,Bangladesh,245.77176295572133,1.4541950785650757
,,,Barbados,2020-10-30 04:24:49,13.1939,-59.5432,234,7,217,10,Barbados,81.42784066589878,2.9914529914529915
,,,Belarus,2020-10-30 04:24:49,53.7098,27.9534,96529,973,85332,10224,Belarus,1021.5442993205544,1.0079872369961358
,,,Belgium,2020-10-30 04:24:49,50.8333,4.469936,392258,11308,24443,356507,Belgium,3384.564251309103,2.8827965267757447
,,,Belize,2020-10-30 04:24:49,17.1899,-88.4976,3261,52,2076,1133,Belize,820.1277095525638,1.5946028825513645
,,,Benin,2020-10-30 04:24:49,9.3077,2.3158,2643,41,2330,272,Benin,21.801178203968956,1.551267499054105
,,,Bhutan,2020-10-30 04:24:49,27.5142,90.4336,346,0,316,30,Bhutan,44.841189613432654,0.0
,,,Bolivia,2020-10-30 04:24:49,-16.2902,-63.5887,141484,8705,110759,22020,Bolivia,1212.0590122752199,6.152639167679737
,,,Bosnia and Herzegovina,2020-10-30 04:24:49,43.9159,17.6791,46639,1182,27580,17877,Bosnia and Herzegovina,1421.5675068542419,2.53435965608182
,,,Botswana,2020-10-30 04:24:49,-22.3285,24.6849,6642,24,4676,1942,Botswana,282.44299154839734,0.36133694670280037
,,Acre,Brazil,2020-10-30 04:24:49,-9.0238,-70.812,30638,692,27999,1947,"Acre, Brazil",3473.9521620074042,2.2586330700437367
,,Alagoas,Brazil,2020-10-30 04:24:49,-9.5713,-36.782,90564,2230,87530,804,"Alagoas, Brazil",2713.644359893173,2.46234706947573
,,Amapa,Brazil,2020-10-30 04:24:49,0.902,-52.003,51875,746,43840,7289,"Amapa, Brazil",6133.747018851148,1.4380722891566264
,,Amazonas,Brazil,2020-10-30 04:24:49,-3.4168,-65.8561,160596,4516,136063,20017,"Amazonas, Brazil",3874.827878319653,2.8120252061072506
,,Bahia,Brazil,2020-10-30 04:24:49,-12.5797,-41.7007,351277,7571,336171,7535,"Bahia, Brazil",2361.8334460202686,2.1552791671529876
,,Ceara,Brazil,2020-10-30 04:24:49,-5.4984,-39.3206,272778,9326,233043,30409,"Ceara, Brazil",2987.0309911938994,3.4188974184135086
,,Distrito Federal,Brazil,2020-10-30 04:24:49,-15.7998,-47.8645,212140,3670,201354,7116,"Distrito Federal, Brazil",7035.527190286237,1.7299896294899595
,,Espirito Santo,Brazil,2020-10-30 04:24:49,-19.1834,-40.3089,154003,3841,142114,8048,"Espirito Santo, Brazil",3832.2073333084495,2.494107257650825
,,Goias,Brazil,2020-10-30 04:24:49,-15.827,-49.8362,253974,5690,243964,4320,"Goias, Brazil",3618.711737823427,2.2403868112483956
,,Maranhao,Brazil,2020-10-30 04:24:49,-4.9609,-45.2744,185156,4034,177494,3628,"Maranhao, Brazil",2616.9789861206377,2.1787033636501114
,,Mato Grosso,Brazil,2020-10-30 04:24:49,-12.6819,-56.9211,142304,3786,133333,5185,"Mato Grosso, Brazil",4083.954327578458,2.6605014616595457
,,Mato Grosso do Sul,Brazil,2020-10-30 04:24:49,-20.7722,-54.7852,81443,1581,75987,3875,"Mato Grosso do Sul, Brazil",2930.6732743525877,1.9412349741537025
,,Minas Gerais,Brazil,2020-10-30 04:24:49,-18.5122,-44.555,355226,8916,324207,22103,"Minas Gerais, Brazil",1678.0646565975353,2.5099514112142693
,,Para,Brazil,2020-10-30 04:24:49,-1.9981,-54.9306,251292,6736,234376,10180,"Para, Brazil",2921.026890460329,2.6805469334479413
,,Paraiba,Brazil,2020-10-30 04:24:49,-7.24,-36.782,132231,3083,107984,21164,"Paraiba, Brazil",3290.8616377730223,2.331525890298039
,,Parana,Brazil,2020-10-30 04:24:49,-25.2521,-52.0215,211861,5174,160818,45869,"Parana, Brazil",1852.9105890462945,2.4421672700497026
,,Pernambuco,Brazil,2020-10-30 04:24:49,-8.8137,-36.9541,161740,8599,143013,10128,"Pernambuco, Brazil",1692.359510565528,5.316557437863238
,,Piaui,Brazil,2020-10-30 04:24:49,-7.7183,-42.7289,112200,2382,109363,455,"Piaui, Brazil",3427.809925801052,2.122994652406417
,,Rio Grande do Norte,Brazil,2020-10-30 04:24:49,-5.4026,-36.9541,80950,2573,44152,34225,"Rio Grande do Norte, Brazil",2308.3374181923223,3.178505250154416
,,Rio Grande do Sul,Brazil,2020-10-30 04:24:49,-30.0346,-51.2177,243402,5729,226195,11478,"Rio Grande do Sul, Brazil",2139.3766976328798,2.353719361385691
,,Rio de Janeiro,Brazil,2020-10-30 04:24:49,-22.9068,-43.1729,308017,20462,282341,5214,"Rio de Janeiro, Brazil",1784.0603354439108,6.643139826697877
,,Rondonia,Brazil,2020-10-30 04:24:49,-11.5057,-63.5806,71351,1454,64257,5640,"Rondonia, Brazil",4014.742083866702,2.0378130649885775
,,Roraima,Brazil,2020-10-30 04:24:49,-2.7376,-62.0751,56733,692,52283,3758,"Roraima, Brazil",9365.574871937944,1.21974864717184
,,Santa Catarina,Brazil,2020-10-30 04:24:49,-27.2423,-50.2189,254488,3077,237563,13848,"Santa Catarina, Brazil",3551.9264491845397,1.20909433843639
,,Sao Paulo,Brazil,2020-10-30 04:24:49,-23.5505,-46.6333,1108860,39119,998541,71200,"Sao Paulo, Brazil",2414.8148190089914,3.527857439171762
,,Sergipe,Brazil,2020-10-30 04:24:49,-10.5741,-37.3857,84171,2195,75849,6127,"Sergipe, Brazil",3661.6847116800127,2.607786529802426
,,Tocantins,Brazil,2020-10-30 04:24:49,-10.1753,-48.2982,75106,1095,62740,11271,"Tocantins, Brazil",4775.104808674102,1.4579394455835752
,,,Brunei,2020-10-30 04:24:49,4.5353,114.7277,148,3,143,2,Brunei,33.82988596128307,2.027027027027027
,,,Bulgaria,2020-10-30 04:24:49,42.7339,25.4858,48150,1225,19695,27230,Bulgaria,692.9607991428297,2.544132917964694
,,,Burkina Faso,2020-10-30 04:24:49,12.2383,-1.5616,2471,67,2211,193,Burkina Faso,11.821112459012411,2.7114528530959126
,,,Burma,2020-10-30 04:24:49,21.9162,95.956,50403,1199,30007,19197,Burma,92.63589566246107,2.378826657143424
,,,Burundi,2020-10-30 04:24:49,-3.3731,29.9189,560,1,511,48,Burundi,4.7095308541970455,0.17857142857142858
,,,Cabo Verde,2020-10-30 04:24:49,16.5388,-23.0418,8603,95,7796,712,Cabo Verde,1547.3355540047628,1.1042659537370685
,,,Cambodia,2020-10-30 04:24:49,11.55,104.9167,291,0,283,8,Cambodia,1.7405377400319673,0.0
