FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-08-16 04:27:42,33.93911,67.709953,37542,1371,27166,9015,Afghanistan,96.46185538705593,3.6483715480280154
,,,Albania,2020-08-16 04:27:42,41.1533,20.1683,7260,225,3746,3289,Albania,252.27604420043087,3.0991735537190084
,,,Algeria,2020-08-16 04:27:42,28.0339,1.6596,38133,1360,26644,10129,Algeria,86.96030331593252,3.5664647418246664
,,,Andorra,2020-08-16 04:27:42,42.5063,1.5218,989,53,863,73,Andorra,1280.0103539765742,5.358948432760364
,,,Angola,2020-08-16 04:27:42,-11.2027,17.8739,1879,86,628,1165,Angola,5.717107887028731,4.576902607770091
,,,Antigua and Barbuda,2020-08-16 04:27:42,17.0608,-61.7964,93,3,83,7,Antigua and Barbuda,94.96773139449392,3.225806451612903
,,,Argentina,2020-08-16 04:27:42,-38.4161,-63.6167,289100,5637,205697,77766,Argentina,639.6615329790658,1.949844344517468
,,,Armenia,2020-08-16 04:27:42,40.0691,45.0382,41495,817,34484,6194,Armenia,1400.328154982023,1.9689119170984455
,,Australian Capital Territory,Australia,2020-08-16 04:27:42,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683
,,New South Wales,Australia,2020-08-16 04:27:42,-33.8688,151.2093,3950,52,2994,904,"New South Wales, Australia",48.65730475486572,1.3164556962025316
,,Northern Territory,Australia,2020-08-16 04:27:42,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.436482084690551,0.0
,,Queensland,Australia,2020-08-16 04:27:42,-27.4698,153.0251,1091,6,1079,6,"Queensland, Australia",21.32733848108689,0.5499541704857929
,,South Australia,Australia,2020-08-16 04:27:42,-34.9285,138.6007,460,4,449,7,"South Australia, Australia",26.188442926273844,0.8695652173913043
,,Tasmania,Australia,2020-08-16 04:27:42,-42.8821,147.3272,230,13,216,1,"Tasmania, Australia",42.95051353874883,5.6521739130434785
,,Victoria,Australia,2020-08-16 04:27:42,-37.8136,144.9631,16764,309,8121,8334,"Victoria, Australia",252.85449252628246,1.8432355046528275
,,Western Australia,Australia,2020-08-16 04:27:42,-31.9505,115.8605,646,9,633,4,"Western Australia, Australia",24.55713525431461,1.3931888544891642
,,,Austria,2020-08-16 04:27:42,47.5162,14.5501,23179,728,20627,1824,Austria,257.36143187066966,3.140773976444195
,,,Azerbaijan,2020-08-16 04:27:42,40.1431,47.5769,34107,506,31697,1904,Azerbaijan,336.3883156173949,1.483566423314862
,,,Bahamas,2020-08-16 04:27:42,25.025885,-78.035889,1252,17,160,1075,Bahamas,318.3741557490438,1.3578274760383386
,,,Bahrain,2020-08-16 04:27:42,26.0275,50.55,46430,170,42806,3454,Bahrain,2728.635629293429,0.36614258022830065
,,,Bangladesh,2020-08-16 04:27:42,23.685,90.3563,274525,3625,157635,113265,Bangladesh,166.69259122793605,1.3204626172479739
,,,Barbados,2020-08-16 04:27:42,13.1939,-59.5432,150,7,121,22,Barbados,52.19733376019153,4.666666666666667
,,,Belarus,2020-08-16 04:27:42,53.7098,27.9534,69308,603,66452,2253,Belarus,733.4706906453912,0.8700294338315923
,,,Belgium,2020-08-16 04:27:42,50.8333,4.469936,77869,9935,17981,49953,Belgium,671.8859365142038,12.758607404743865
,,,Belize,2020-08-16 04:27:42,17.1899,-88.4976,388,3,35,350,Belize,97.58035918626028,0.7731958762886598
,,,Benin,2020-08-16 04:27:42,9.3077,2.3158,2063,39,1690,334,Benin,17.016962026026466,1.8904507998061075
,,,Bhutan,2020-08-16 04:27:42,27.5142,90.4336,133,0,102,31,Bhutan,17.236642250250124,0.0
,,,Bolivia,2020-08-16 04:27:42,-16.2902,-63.5887,99146,4003,35638,59505,Bolivia,849.3596649164498,4.037480079882194
,,,Bosnia and Herzegovina,2020-08-16 04:27:42,43.9159,17.6791,15801,471,9619,5711,Bosnia and Herzegovina,481.6181345184047,2.980823998481109
,,,Botswana,2020-08-16 04:27:42,-22.3285,24.6849,1214,3,120,1091,Botswana,51.623877106256316,0.2471169686985173
