FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,2020-08-15 04:27:31,33.93911,67.709953,37497,1370,26714,9354,Afghanistan,96.15359668165671,3.641366781544709
,,,Albania,2020-08-15 04:27:31,41.1533,20.1683,7117,219,3695,3203,Albania,247.3069706025436,3.0771392440635097
,,,Algeria,2020-08-15 04:27:31,28.0339,1.6596,37664,1351,26308,10005,Algeria,85.89077345321068,3.586979609175871
,,,Andorra,2020-08-15 04:27:31,42.5063,1.5218,989,53,863,73,Andorra,1280.0103539765742,5.358948432760364
,,,Angola,2020-08-15 04:27:31,-11.2027,17.8739,1852,86,584,1182,Angola,5.634956789131032,4.643628509719222
,,,Antigua and Barbuda,2020-08-15 04:27:31,17.0608,-61.7964,93,3,83,7,Antigua and Barbuda,94.96773139449392,3.225806451612903
,,,Argentina,2020-08-15 04:27:31,-38.4161,-63.6167,282437,5527,199005,77905,Argentina,624.919005153955,1.9568965822466604
,,,Armenia,2020-08-15 04:27:31,40.0691,45.0382,41299,814,34164,6321,Armenia,1393.713760033801,1.9709920337054165
,,Australian Capital Territory,Australia,2020-08-15 04:27:31,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683
,,New South Wales,Australia,2020-08-15 04:27:31,-33.8688,151.2093,3945,51,0,900,"New South Wales, Australia",48.59571322985957,1.2927756653992395
,,Northern Territory,Australia,2020-08-15 04:27:31,-12.4634,130.8456,33,0,31,2,"Northern Territory, Australia",13.436482084690551,0.0
,,Queensland,Australia,2020-08-15 04:27:31,-27.4698,153.0251,1091,6,1079,6,"Queensland, Australia",21.32733848108689,0.5499541704857929
,,South Australia,Australia,2020-08-15 04:27:31,-34.9285,138.6007,460,4,449,7,"South Australia, Australia",26.188442926273844,0.8695652173913043
,,Tasmania,Australia,2020-08-15 04:27:31,-42.8821,147.3272,230,13,216,1,"Tasmania, Australia",42.95051353874883,5.6521739130434785
,,Victoria,Australia,2020-08-15 04:27:31,-37.8136,144.9631,16517,293,8121,8103,"Victoria, Australia",249.12894613795083,1.773929890415935
,,Western Australia,Australia,2020-08-15 04:27:31,-31.9505,115.8605,646,9,632,5,"Western Australia, Australia",24.55713525431461,1.3931888544891642
,,,Austria,2020-08-15 04:27:31,47.5162,14.5501,22876,725,20499,1652,Austria,253.99715757683427,3.169260360202833
,,,Azerbaijan,2020-08-15 04:27:31,40.1431,47.5769,34018,504,31490,2024,Azerbaijan,335.51053216854433,1.481568581339291
,,,Bahamas,2020-08-15 04:27:31,25.025885,-78.035889,1119,17,138,964,Bahamas,284.55325901212467,1.519213583556747
,,,Bahrain,2020-08-15 04:27:31,26.0275,50.55,46052,168,42469,3415,Bahrain,2706.421020896424,0.3648050030400417
,,,Bangladesh,2020-08-15 04:27:31,23.685,90.3563,271881,3591,156623,111667,Bangladesh,165.08714468861663,1.320798437551723
,,,Barbados,2020-08-15 04:27:31,13.1939,-59.5432,148,7,119,22,Barbados,51.501369310055644,4.72972972972973
,,,Belarus,2020-08-15 04:27:31,53.7098,27.9534,69308,603,66452,2253,Belarus,733.4706906453912,0.8700294338315923
,,,Belgium,2020-08-15 04:27:31,50.8333,4.469936,77113,9924,17941,49248,Belgium,665.3628558530326,12.869425388715262
,,,Belize,2020-08-15 04:27:31,17.1899,-88.4976,356,3,32,321,Belize,89.53249451110479,0.8426966292134831
,,,Benin,2020-08-15 04:27:31,9.3077,2.3158,2014,38,1681,295,Benin,16.612778245476154,1.8867924528301887
,,,Bhutan,2020-08-15 04:27:31,27.5142,90.4336,133,0,102,31,Bhutan,17.236642250250124,0.0
,,,Bolivia,2020-08-15 04:27:31,-16.2902,-63.5887,97950,3939,34723,59288,Bolivia,839.1138238412669,4.0214395099540585
,,,Bosnia and Herzegovina,2020-08-15 04:27:31,43.9159,17.6791,15535,469,9344,5722,Bosnia and Herzegovina,473.51039299686204,3.018989378822015
,,,Botswana,2020-08-15 04:27:31,-22.3285,24.6849,1214,3,120,1091,Botswana,51.623877106256316,0.2471169686985173
,,Acre,Brazil,2020-08-15 04:27:31,-9.0238,-70.812,22435,576,15307,6552,"Acre, Brazil",2543.8382647247245,2.5807031741749844
,,Alagoas,Brazil,2020-08-15 04:27:31,-9.5713,-36.782,71232,1732,54218,15282,"Alagoas, Brazil",2134.383585573854,2.4366761528550596
,,Amapa,Brazil,2020-08-15 04:27:31,0.902,-52.003,39244,612,27239,11393,"Amapa, Brazil",4640.246130270736,1.5609381007304883
,,Amazonas,Brazil,2020-08-15 04:27:31,-3.4168,-65.8561,110777,3455,93098,14224,"Amazonas, Brazil",2672.805100230493,3.128358317699131
,,Bahia,Brazil,2020-08-15 04:27:31,-12.5797,-41.7007,210993,4271,187333,19389,"Bahia, Brazil",1418.6249719627374,2.030393080621391
,,Ceara,Brazil,2020-08-15 04:27:31,-5.4984,-39.3206,196144,8123,164742,23279,"Ceara, Brazil",2147.8572565849745,4.167332196351008
,,Distrito Federal,Brazil,2020-08-15 04:27:31,-15.7998,-47.8645,133166,1935,112400,18831,"Distrito Federal, Brazil",4416.39018488572,1.4523137912632462
,,Espirito Santo,Brazil,2020-08-15 04:27:31,-19.1834,-40.3089,98106,2849,83084,12173,"Espirito Santo, Brazil",2441.267589862267,2.911840245902485
,,Goias,Brazil,2020-08-15 04:27:31,-15.827,-49.8362,99234,2286,87776,9172,"Goias, Brazil",1413.9212698590009,2.2873621432779667
,,Maranhao,Brazil,2020-08-15 04:27:31,-4.9609,-45.2744,135324,3240,123772,8312,"Maranhao, Brazil",1912.6577821825333,2.4054905993606224
,,Mato Grosso,Brazil,2020-08-15 04:27:31,-12.6819,-56.9211,72269,2285,46355,23629,"Mato Grosso, Brazil",2074.033725684222,3.1772764584335813
,,Mato Grosso do Sul,Brazil,2020-08-15 04:27:31,-20.7722,-54.7852,35434,591,27936,6907,"Mato Grosso do Sul, Brazil",1275.069395815596,1.6493532798981452
,,Minas Gerais,Brazil,2020-08-15 04:27:31,-18.5122,-44.555,168428,3943,132934,31551,"Minas Gerais, Brazil",795.642982161806,2.3321104811569597
,,Para,Brazil,2020-08-15 04:27:31,-1.9981,-54.9306,175608,5924,157802,11882,"Para, Brazil",2041.2734594812312,3.407919366450684
,,Paraiba,Brazil,2020-08-15 04:27:31,-7.24,-36.782,94660,2113,48585,43962,"Paraiba, Brazil",2355.8239946124154,2.2304198562807858
,,Parana,Brazil,2020-08-15 04:27:31,-25.2521,-52.0215,101844,2612,59922,39310,"Parana, Brazil",890.7152615669272,2.5846067404456843
,,Pernambuco,Brazil,2020-08-15 04:27:31,-8.8137,-36.9541,110409,7111,175988,-72690,"Pernambuco, Brazil",1155.2598071103585,6.440598139644413
,,Piaui,Brazil,2020-08-15 04:27:31,-7.7183,-42.7289,64595,1581,62351,663,"Piaui, Brazil",1973.434778583948,2.4598661682008105
,,Rio Grande do Norte,Brazil,2020-08-15 04:27:31,-5.4026,-36.9541,57467,2041,28243,27183,"Rio Grande do Norte, Brazil",1638.7056999537765,3.5674236052705353
,,Rio Grande do Sul,Brazil,2020-08-15 04:27:31,-30.0346,-51.2177,95142,2631,81665,10846,"Rio Grande do Sul, Brazil",836.2485836853739,2.7917026793431288
,,Rio de Janeiro,Brazil,2020-08-15 04:27:31,-22.9068,-43.1729,189891,14507,167609,7775,"Rio de Janeiro, Brazil",1099.8646216208183,7.662493021772071
,,Rondonia,Brazil,2020-08-15 04:27:31,-11.5057,-63.5806,47288,1001,38312,7975,"Rondonia, Brazil",2660.777335452742,2.1274316565258378
,,Roraima,Brazil,2020-08-15 04:27:31,-2.7376,-62.0751,38897,565,9345,28987,"Roraima, Brazil",6421.179309991894,1.4659001829108962
,,Santa Catarina,Brazil,2020-08-15 04:27:31,-27.2423,-50.2189,118183,1742,99781,16660,"Santa Catarina, Brazil",1649.4975147903888,1.4743723485638778
,,Sao Paulo,Brazil,2020-08-15 04:27:31,-23.5505,-46.6333,686122,26613,457758,201751,"Sao Paulo, Brazil",1494.199063225373,3.903003165518826
,,Sergipe,Brazil,2020-08-15 04:27:31,-10.5741,-37.3857,67225,1684,52842,12699,"Sergipe, Brazil",2924.484142313729,2.4996258045202815
,,Tocantins,Brazil,2020-08-15 04:27:31,-10.1753,-48.2982,35403,500,20584,14319,"Tocantins, Brazil",2250.859259466477,1.4327646836583452
,,,Brunei,2020-08-15 04:27:31,4.5353,114.7277,142,3,138,1,Brunei,32.45840409798781,2.112676056338028
,,,Bulgaria,2020-08-15 04:27:31,42.7339,25.4858,14243,492,9114,4637,Bulgaria,204.98111447957058,3.454328442041705
,,,Burkina Faso,2020-08-15 04:27:31,12.2383,-1.5616,1238,54,1005,179,Burkina Faso,5.92251607618671,4.361873990306947
,,,Burma,2020-08-15 04:27:31,21.9162,95.956,374,6,322,46,Burma,0.6873762470043536,1.6042780748663101
,,,Burundi,2020-08-15 04:27:31,-3.3731,29.9189,412,1,315,96,Burundi,3.4648691284449686,0.24271844660194175
,,,Cabo Verde,2020-08-15 04:27:31,16.5388,-23.0418,3136,33,2254,849,Cabo Verde,564.0409505241121,1.052295918367347
,,,Cambodia,2020-08-15 04:27:31,11.55,104.9167,273,0,225,48,Cambodia,1.6328756117825671,0.0
,,,Cameroon,2020-08-15 04:27:31,3.848,11.5021,18469,401,15320,2748,Cameroon,69.57392684600511,2.1712058043207536
,,Alberta,Canada,2020-08-15 04:27:31,53.9333,-116.5765,12053,221,10796,1036,"Alberta, Canada",273.1158225900525,1.8335684062059239
,,British Columbia,Canada,2020-08-15 04:27:31,53.7267,-127.6476,4358,196,3533,629,"British Columbia, Canada",85.26845573896034,4.497475906379073
,,Diamond Princess,Canada,2020-08-15 04:27:31,,,0,1,0,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,2020-08-15 04:27:31,,,13,0,13,0,"Grand Princess, Canada",,0.0
,,Manitoba,Canada,2020-08-15 04:27:31,53.7609,-98.8139,643,8,389,246,"Manitoba, Canada",46.6781898154433,1.244167962674961
,,New Brunswick,Canada,2020-08-15 04:27:31,46.5653,-66.4619,180,2,169,9,"New Brunswick, Canada",23.07713017937341,1.1111111111111112
,,Newfoundland and Labrador,Canada,2020-08-15 04:27:31,53.1355,-57.6604,268,3,263,2,"Newfoundland and Labrador, Canada",51.40352727935323,1.1194029850746268
,,Northwest Territories,Canada,2020-08-15 04:27:31,64.8255,-124.8457,5,0,5,0,"Northwest Territories,Canada",11.134865490824868,0.0
,,Nova Scotia,Canada,2020-08-15 04:27:31,44.682,-63.7443,1072,64,1007,1,"Nova Scotia, Canada",109.67234364273827,5.970149253731344
,,Nunavut,Canada,2020-08-15 04:27:31,70.2998,-83.1076,0,0,0,0,"Nunavut, Canada",,
,,Ontario,Canada,2020-08-15 04:27:31,51.2538,-85.3232,42412,2835,38486,1091,"Ontario, Canada",288.28506479854616,6.684428935207017
,,Prince Edward Island,Canada,2020-08-15 04:27:31,46.5107,-63.4168,41,0,36,5,"Prince Edward Island, Canada",25.92344364496263,0.0
,,Quebec,Canada,2020-08-15 04:27:31,52.9399,-73.5491,61004,5745,53598,1688,"Quebec, Canada",714.5271651271762,9.37315585863222
,,Saskatchewan,Canada,2020-08-15 04:27:31,52.9399,-106.4509,1541,20,1347,174,"Saskatchewan, Canada",130.40910037184787,1.2978585334198571
