Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-03T11:43:02,67217,2835,36208,30.9756,112.2707
,South Korea,2020-03-03T09:43:02,5186,28,30,36.0,128.0
,Italy,2020-03-03T20:03:06,2502,79,160,43.0,12.0
,Iran,2020-03-03T14:23:03,2336,77,291,32.0,53.0
Guangdong,Mainland China,2020-03-03T10:23:10,1350,7,1101,23.3417,113.4244
Henan,Mainland China,2020-03-03T09:43:02,1272,22,1231,33.882,113.614
Zhejiang,Mainland China,2020-03-03T12:33:02,1213,1,1093,29.1832,120.0934
Hunan,Mainland China,2020-03-03T13:03:04,1018,4,906,27.6104,111.7088
Anhui,Mainland China,2020-03-03T14:33:03,990,6,936,31.8257,117.2264
Jiangxi,Mainland China,2020-03-03T02:03:11,935,1,870,27.614,115.7221
Shandong,Mainland China,2020-03-03T07:53:03,758,6,511,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-03-03T03:13:06,706,6,10,35.4437,139.638
Jiangsu,Mainland China,2020-03-03T11:03:09,631,0,562,32.9711,119.455
Chongqing,Mainland China,2020-03-03T23:13:05,576,6,490,30.0572,107.874
Sichuan,Mainland China,2020-03-03T09:33:02,538,3,394,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-03T13:03:04,480,13,366,47.862,127.7615
Beijing,Mainland China,2020-03-03T02:03:11,414,8,288,40.1824,116.4142
Shanghai,Mainland China,2020-03-03T03:43:02,338,3,294,31.202,121.4491
Hebei,Mainland China,2020-03-03T09:33:02,318,6,300,38.0428,114.5149
Fujian,Mainland China,2020-03-03T13:43:03,296,1,260,26.0789,117.9874
,Japan,2020-03-03T20:03:06,293,6,43,36.0,138.0
Guangxi,Mainland China,2020-03-03T00:23:14,252,2,202,23.8298,108.7881
Shaanxi,Mainland China,2020-03-02T08:03:12,245,1,216,35.1917,108.8701
,France,2020-03-03T15:23:03,204,4,12,47.0,2.0
,Germany,2020-03-03T20:03:06,196,0,16,51.0,9.0
Yunnan,Mainland China,2020-03-03T03:43:02,174,2,169,24.974,101.487
Hainan,Mainland China,2020-03-03T23:43:02,168,5,155,19.1959,109.7453
,Spain,2020-03-03T23:53:03,165,1,2,40.0,-4.0
Guizhou,Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748
Tianjin,Mainland China,2020-03-03T11:43:02,136,3,124,39.3054,117.323
Shanxi,Mainland China,2020-03-03T23:13:05,133,0,124,37.5777,112.2922
Liaoning,Mainland China,2020-03-03T14:33:03,125,1,106,41.2956,122.6085
,Singapore,2020-03-03T15:23:03,110,0,78,1.2833,103.8333
Hong Kong,Hong Kong,2020-03-03T11:53:01,100,2,37,22.3,114.2
Jilin,Mainland China,2020-03-02T15:03:23,93,1,83,43.6661,126.1923
Gansu,Mainland China,2020-03-03T13:43:03,91,2,86,36.0611,103.8343
Xinjiang,Mainland China,2020-03-03T07:33:03,76,3,68,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-03T09:23:02,75,1,59,44.0935,113.9448
Ningxia,Mainland China,2020-03-02T01:33:02,74,0,69,37.2692,106.1655
,Kuwait,2020-03-02T20:33:02,56,0,0,29.5,47.75
,Switzerland,2020-03-03T16:43:02,56,0,2,46.8182,8.2275
,UK,2020-03-03T15:13:26,51,0,8,55.0,-3.0
,Bahrain,2020-03-02T20:33:02,49,0,0,26.0275,50.55
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
,Thailand,2020-03-02T06:23:04,43,1,31,15.0,101.0
Taiwan,Taiwan,2020-03-03T06:43:02,42,1,12,23.7,121.0
,Malaysia,2020-03-03T12:33:02,36,0,22,2.5,112.5
,Iraq,2020-03-03T20:03:06,32,0,0,33.0,44.0
,Norway,2020-03-03T14:33:03,32,0,0,60.472,8.4689
,United Arab Emirates,2020-03-03T23:43:02,27,0,5,24.0,54.0
,Netherlands,2020-03-03T15:13:26,24,0,0,52.1326,5.2913
,Austria,2020-03-03T15:13:26,21,0,0,47.5162,14.5501
,Sweden,2020-03-03T15:13:26,21,0,0,63.0,16.0
"King County, WA",US,2020-03-03T20:23:05,21,6,1,47.548,-121.9836
"Toronto, ON",Canada,2020-03-03T20:03:08,19,0,2,43.6532,-79.3832
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
,Vietnam,2020-02-25T08:53:02,16,0,16,16.0,108.0
New South Wales,Australia,2020-03-03T15:13:26,13,0,4,-33.8688,151.2093
,Belgium,2020-03-03T15:13:26,13,0,1,50.8333,4.0
,Lebanon,2020-03-02T20:53:02,13,0,0,33.8547,35.8623
,Israel,2020-03-03T04:23:07,15,0,0,31.0,35.0
,Oman,2020-03-03T15:23:03,12,0,2,21.0,57.0
Queensland,Australia,2020-03-03T15:23:03,11,0,1,-28.0167,153.4
,Iceland,2020-03-03T15:13:26,11,0,0,64.9631,-19.0208
"Santa Clara, CA",US,2020-03-03T23:33:03,11,0,1,37.3541,-121.9552
Macau,Macau,2020-03-03T12:33:02,10,0,9,22.1667,113.55
,San Marino,2020-03-03T15:23:03,10,1,0,43.9424,12.4578
Victoria,Australia,2020-03-02T00:53:03,9,0,4,-37.8136,144.9631
British Columbia,Canada,2020-03-03T23:53:03,9,0,3,49.2827,-123.1207
,Croatia,2020-03-03T09:53:08,9,0,0,45.1667,15.5
,Ecuador,2020-03-03T15:13:26,7,0,0,-1.8312,-78.1834
,Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243
,Qatar,2020-03-03T03:23:03,7,0,0,25.3548,51.1839
,Denmark,2020-03-03T15:13:26,6,0,0,56.2639,9.5018
,Finland,2020-03-01T23:23:02,6,0,1,64.0,26.0
"Snohomish County, WA",US,2020-03-03T20:23:05,6,1,0,48.033,-121.8339
,Algeria,2020-03-03T03:23:03,5,0,0,28.0339,1.6596
,Czech Republic,2020-03-03T15:13:26,5,0,0,49.8175,15.473
,India,2020-03-02T22:33:09,5,0,3,21.0,78.0
,Mexico,2020-03-03T10:03:04,5,0,1,23.0,-102.0
,Pakistan,2020-03-03T04:33:03,5,0,0,30.3753,69.3451
"Cook County, IL",US,2020-03-02T20:33:02,4,0,2,41.7377,-87.6976
South Australia,Australia,2020-02-29T02:03:10,3,0,2,-34.9285,138.6007
,Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769
,Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569
,Philippines,2020-02-12T07:43:02,3,1,1,13.0,122.0
,Romania,2020-03-03T00:23:16,3,0,0,46.0,25.0
,Russia,2020-03-02T21:23:04,3,0,2,60.0,90.0
Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605
,Brazil,2020-02-29T21:03:05,2,0,0,-14.235,-51.9253
,Egypt,2020-03-01T23:33:03,2,0,1,26.0,30.0
,Estonia,2020-03-03T23:53:03,2,0,0,58.5953,25.0136
,Indonesia,2020-03-02T18:03:04,2,0,0,-0.7893,113.9213
,Ireland,2020-03-03T23:53:03,2,0,0,53.1424,-7.6921
,Portugal,2020-03-03T15:33:02,2,0,0,39.3999,-8.2245
,Senegal,2020-03-03T23:53:03,2,0,0,14.4974,-14.4524
