Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-02-07 05:30:57,32.3182,-86.9023,471311,8513,252880.0,209918.0,1.0,9612.343813256075,2182021.0,,1.8062383436838945,84000001.0,USA,44502.114441939266,
Alaska,US,2021-02-07 05:30:57,61.3707,-152.4044,55261,279,,54980.0,2.0,7553.739004435816,1536911.0,,0.5048951302050345,84000002.0,USA,210091.1085442454,
American Samoa,US,2021-02-07 05:30:57,-14.271,-170.132,0,0,,0.0,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-02-07 05:30:57,33.7298,-111.4312,779093,14011,107304.0,657778.0,4.0,10703.713305517991,6922180.0,,1.7983732365712437,84000004.0,USA,48498.89066988042,
Arkansas,US,2021-02-07 05:30:57,34.9697,-92.3731,306064,5061,284162.0,16841.0,5.0,10141.944274711015,2520485.0,,1.6535757227246588,84000005.0,USA,83520.50033733138,
California,US,2021-02-07 08:30:40,36.1162,-119.6816,3408241,44246,,3364250.0,6.0,8625.789037483413,43719155.0,,1.2907244528775987,84000006.0,USA,110647.16606807975,
Colorado,US,2021-02-07 05:30:57,39.0598,-105.3111,404256,5722,21426.0,377108.0,8.0,7019.873805640683,5628286.0,,1.41543972136468,84000008.0,USA,97734.74595814082,
Connecticut,US,2021-02-07 05:30:57,41.5978,-72.7554,259372,7214,9800.0,242358.0,9.0,7274.926254183744,5959472.0,,2.7813333744583066,84000009.0,USA,167152.65839748667,
Delaware,US,2021-02-07 05:30:57,39.3185,-75.5071,79832,1329,,78630.0,10.0,8198.29034550466,1260655.0,,1.505661889968935,84000010.0,USA,129462.06678414892,
Diamond Princess,US,2021-02-07 05:30:57,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-02-07 05:30:57,38.8974,-77.0268,37877,947,26680.0,10250.0,11.0,5366.922234392115,1129442.0,,2.500198009346041,84000011.0,USA,160034.51652074605,
Florida,US,2021-02-07 05:30:57,27.7663,-81.6868,1771359,27599,,1743760.0,12.0,8247.419176424406,19759916.0,,1.558069256429668,84000012.0,USA,92001.85289539584,
Georgia,US,2021-02-07 05:30:57,33.0406,-83.6431,937402,15090,,922312.0,13.0,8828.90320937576,6628577.0,,1.609768274443622,84000013.0,USA,62431.128532789924,
Grand Princess,US,2021-02-07 05:30:57,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-02-07 05:30:57,13.4443,144.7937,7636,129,7416.0,91.0,66.0,4649.605124551693,109195.0,,1.6893661602933474,316.0,GUM,66489.47506226062,
Hawaii,US,2021-02-07 05:30:57,21.0943,-157.4983,27192,416,,26196.0,15.0,1879.4778059033586,997323.0,,1.5595054676637479,84000015.0,USA,70438.78260181713,
Idaho,US,2021-02-07 05:30:57,44.2405,-114.4788,165209,1767,85439.0,78003.0,16.0,9244.7113003724,612081.0,,1.069554322101096,84000016.0,USA,34250.628824357256,
Illinois,US,2021-02-07 05:30:57,40.3495,-88.9861,1144281,21676,,1122605.0,17.0,9030.1228213372,16555035.0,,1.894289951506667,84000017.0,USA,130644.48274640244,
Indiana,US,2021-02-07 05:30:57,39.8494,-86.2583,637987,11752,415130.0,211105.0,18.0,9476.622789603249,7237304.0,,1.8420438034003828,84000018.0,USA,107502.50400350911,
Iowa,US,2021-02-07 05:30:57,42.0115,-93.2105,324306,5108,293073.0,26125.0,19.0,10278.884462151394,1266063.0,,1.5750556573113048,84000019.0,USA,40127.88939706567,
Kansas,US,2021-02-07 05:30:57,38.5266,-96.7265,283926,4112,5912.0,273939.0,20.0,9745.808381794754,1197053.0,,1.4352331241238914,84000020.0,USA,41089.04841702611,
Kentucky,US,2021-02-07 05:30:57,37.6681,-84.6701,376253,4020,44916.0,327317.0,21.0,8421.677235554169,3676301.0,,1.068430019162638,84000021.0,USA,82286.70719634136,
Louisiana,US,2021-02-07 05:30:57,31.1695,-91.8678,409861,9076,363457.0,37328.0,22.0,8816.50165612845,5139629.0,,2.214409275339688,84000022.0,USA,110558.32975175927,
Maine,US,2021-02-07 05:30:57,44.6939,-69.3819,41065,634,12521.0,27910.0,23.0,3054.9496656777355,1438225.0,,1.5438938268598563,84000023.0,USA,106993.91167464656,
Maryland,US,2021-02-07 05:30:57,39.0639,-76.8021,362084,7329,9514.0,345241.0,24.0,5989.136044249778,7188638.0,,2.024115950994797,84000024.0,USA,118905.36713818792,
Massachusetts,US,2021-02-07 05:30:57,42.2302,-71.5301,540827,14921,425717.0,100189.0,25.0,7846.597963033168,14212421.0,,2.7589229088044793,84000025.0,USA,206201.15798281122,
Michigan,US,2021-02-07 05:30:57,43.3266,-84.5361,620685,15854,498495.0,106336.0,26.0,6215.018398681386,9609921.0,,2.5542747126159,84000026.0,USA,96225.67941044916,
Minnesota,US,2021-02-07 05:30:57,45.6945,-93.9002,467217,6357,452183.0,8677.0,27.0,8284.529912590042,6391756.0,,1.3606097380874411,84000027.0,USA,113336.40209148398,
Mississippi,US,2021-02-07 05:30:57,32.7416,-89.6787,280778,6266,238176.0,36336.0,28.0,9434.27227601844,1608408.0,,2.2316563263503557,84000028.0,USA,54043.261946898485,
Missouri,US,2021-02-07 05:30:57,38.4561,-92.2884,543392,7472,,473739.0,29.0,7840.140853790872,4237855.0,,1.5470205722147292,84000029.0,USA,69049.36400068563,
Montana,US,2021-02-07 05:30:57,46.9219,-110.4544,95717,1312,91060.0,3345.0,30.0,8955.741978221857,989166.0,,1.3707073978499118,84000030.0,USA,92551.11912857488,
Nebraska,US,2021-02-07 05:30:57,41.1254,-98.2681,193421,1968,139885.0,51568.0,31.0,9998.97643103213,2171505.0,,1.0174696646175958,84000031.0,USA,112256.8248270272,
Nevada,US,2021-02-07 05:30:57,38.3135,-117.0554,283391,4496,,278895.0,32.0,9200.540492104943,2542294.0,,1.5865006298718023,84000032.0,USA,82537.83249939287,
