Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-03-19 05:30:59,32.3182,-86.9023,510048,10391,,,1.0,10402.381309291817,2362931.0,,2.037259238346195,84000001.0,USA,48191.75699060917,
Alaska,US,2021-03-19 05:30:59,61.3707,-152.4044,61091,310,,,2.0,8341.113670382547,1812448.0,,0.5080384798177617,84000002.0,USA,247756.1872475377,
American Samoa,US,2021-03-19 05:30:59,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-03-19 05:30:59,33.7298,-111.4312,834607,16645,,,4.0,11466.402664095884,8190456.0,,1.9943518326589642,84000004.0,USA,112526.09491480436,
Arkansas,US,2021-03-19 05:30:59,34.9697,-92.3731,328045,5515,,,5.0,10870.321598089207,2791462.0,,1.6811717904555776,84000005.0,USA,92499.7779842561,
California,US,2021-03-19 08:31:06,36.1162,-119.6816,3635179,56956,,,6.0,9199.196410690434,51460324.0,,1.5736736503478728,84000006.0,USA,130238.99971408847,
Colorado,US,2021-03-19 05:30:59,39.0598,-105.3111,446580,6060,,,8.0,7754.826753648717,6611085.0,,1.3569797124815262,84000008.0,USA,114800.97368589217,
Connecticut,US,2021-03-19 05:30:59,41.5978,-72.7554,295484,7822,,,9.0,8287.804039338207,6801571.0,,2.6471822501387554,84000009.0,USA,190772.04724332152,
Delaware,US,2021-03-19 05:30:59,39.3185,-75.5071,91425,1517,,,10.0,9388.82521843075,1493986.0,,1.6592835657642877,84000010.0,USA,153423.82753932165,
Diamond Princess,US,2021-03-19 05:30:59,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-03-19 05:30:59,38.8974,-77.0268,42892,1046,,,11.0,6077.514810506284,1311092.0,,2.438683204327148,84000011.0,USA,185773.12897361527,
Florida,US,2021-03-19 05:30:59,27.7663,-81.6868,1994117,32598,,,12.0,9284.57686207816,23080032.0,,1.6347084950381547,84000012.0,USA,107460.25989609613,
Georgia,US,2021-03-19 05:30:59,33.0406,-83.6431,1040817,18420,,,13.0,9802.91545321308,7545388.0,,1.7697635607412254,84000013.0,USA,71066.09579367799,
Grand Princess,US,2021-03-19 05:30:59,,,103,3,,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-03-19 05:30:59,13.4443,144.7937,7780,134,,,66.0,4737.287567969116,125442.0,,1.7223650385604112,316.0,GUM,76382.36852200281,
Hawaii,US,2021-03-19 05:30:59,21.0943,-157.4983,29505,451,,,15.0,2033.7290376531207,1193436.0,,1.5627713144643167,84000015.0,USA,84289.82280884148,
Idaho,US,2021-03-19 05:30:59,44.2405,-114.4788,176802,1938,,,16.0,9893.428610598945,659557.0,,1.096141446363729,84000016.0,USA,36907.275336935134,
Illinois,US,2021-03-19 05:30:59,40.3495,-88.9861,1216090,23287,,,17.0,9596.032014656772,19299281.0,,1.9150619411969816,84000017.0,USA,152300.7703470559,
Indiana,US,2021-03-19 05:30:59,39.8494,-86.2583,675388,12907,,,18.0,10032.175126804399,8515391.0,,1.9110496484983448,84000018.0,USA,126487.13596512533,
Iowa,US,2021-03-19 05:30:59,42.0115,-93.2105,344860,5672,,,19.0,10930.343859248766,1345272.0,,1.6447253958127936,84000019.0,USA,42638.4200667497,
Kansas,US,2021-03-19 05:30:59,38.5266,-96.7265,301085,4831,,,20.0,10334.793983758702,1293893.0,,1.5919092615042263,84000020.0,USA,44413.09793589018,
Kentucky,US,2021-03-19 05:30:59,37.6681,-84.6701,419149,5504,,,21.0,9381.819125974527,4054812.0,,1.313136855867484,84000021.0,USA,90758.92528392297,
Louisiana,US,2021-03-19 05:30:59,31.1695,-91.8678,439543,9974,,,22.0,9454.989831771425,5856585.0,,2.269175029519296,84000022.0,USA,125980.73823017324,
Maine,US,2021-03-19 05:30:59,44.6939,-69.3819,47832,727,,,23.0,3558.367281351453,1704120.0,,1.5199029938116742,84000023.0,USA,126774.645666011,
Maryland,US,2021-03-19 05:30:59,39.0639,-76.8021,396746,8113,,,24.0,6562.47105371108,8361452.0,,2.044885140618935,84000024.0,USA,138304.5745060936,
Massachusetts,US,2021-03-19 05:30:59,42.2302,-71.5301,608318,16759,,,25.0,8825.79231376468,17607605.0,,2.7549735500182475,84000025.0,USA,255460.24426830138,
Michigan,US,2021-03-19 05:30:59,43.3266,-84.5361,683398,16843,,,26.0,6842.97372036067,10970604.0,,2.46459603335099,84000026.0,USA,109850.41640227752,
Minnesota,US,2021-03-19 05:30:59,45.6945,-93.9002,501458,6830,,,27.0,8891.679457099328,7325694.0,,1.3620283254031245,84000027.0,USA,129896.66701657131,
Mississippi,US,2021-03-19 05:30:59,32.7416,-89.6787,301924,6938,,,28.0,10144.78777776247,1803620.0,,2.297929280216213,84000028.0,USA,60602.47655611329,
Missouri,US,2021-03-19 05:30:59,38.4561,-92.2884,573559,8708,,,29.0,9345.266453634975,4684766.0,,1.518239623125084,84000029.0,USA,76331.09504502537,
Montana,US,2021-03-19 05:30:59,46.9219,-110.4544,102616,1406,,,30.0,9601.245534619911,1152910.0,,1.370156700709441,84000030.0,USA,107871.79376821005,
Nebraska,US,2021-03-19 05:30:59,41.1254,-98.2681,205539,2130,,,31.0,10625.421317529705,2495411.0,,1.036299680352634,84000031.0,USA,129001.27584253169,
Nevada,US,2021-03-19 05:30:59,38.3135,-117.0554,300415,5157,,,32.0,9753.239770972641,2854529.0,,1.7166253349533145,84000032.0,USA,92674.81906760568,
New Hampshire,US,2021-03-19 05:30:59,43.4525,-71.5639,79702,1207,,,33.0,5861.686784912382,1547159.0,,1.5143911068731024,84000033.0,USA,113785.87067398881,
New Jersey,US,2021-03-19 05:30:59,40.2989,-74.521,853188,24076,,,34.0,9605.604023332084,11462197.0,,2.8218868526045844,84000034.0,USA,129046.96927221776,
New Mexico,US,2021-03-19 05:30:59,34.8405,-106.2485,189158,3877,,,35.0,9021.14573959059,2874746.0,,2.0496093213081132,84000035.0,USA,137099.6871943301,
New York,US,2021-03-19 05:30:59,42.1657,-74.9481,1767290,49262,,,36.0,9084.660643879031,41744092.0,,2.7874316043207394,84000036.0,USA,214583.29403033204,
North Carolina,US,2021-03-19 05:30:59,35.6301,-79.8064,891314,11783,,,37.0,8498.34917416756,10098425.0,,1.321980805866395,84000037.0,USA,96284.74562179326,
North Dakota,US,2021-03-19 05:30:59,47.5289,-99.784,101403,1490,,,38.0,13306.397642186594,1442356.0,,1.4693845349743104,84000038.0,USA,189270.16436982816,
Northern Mariana Islands,US,2021-03-19 05:30:59,15.0979,145.6739,157,2,,,69.0,284.7091251994778,17542.0,,1.2738853503184713,580.0,MNP,31811.25779776585,
Ohio,US,2021-03-19 05:30:59,40.3888,-82.7649,995785,19042,,,39.0,8518.919335107066,10547259.0,,1.80671530501062,84000039.0,USA,90231.57471490533,
Oklahoma,US,2021-03-19 05:30:59,35.5653,-96.9289,435317,4788,,,40.0,10937.482230726482,3653908.0,,1.1063025511041076,84000040.0,USA,92341.03560526474,
Oregon,US,2021-03-19 05:30:59,44.572,-122.0709,160622,2353,,,41.0,3808.250727819208,4003447.0,,1.4649300842972943,84000041.0,USA,94919.31336638582,
Pennsylvania,US,2021-03-19 05:30:59,40.5908,-77.2098,982164,24739,,,42.0,7652.232789764154,11107528.0,,2.523585242712104,84000042.0,USA,86764.080175354,
Puerto Rico,US,2021-03-19 05:30:59,18.2208,-66.5901,103679,2089,,,72.0,3246.366120235689,0.0,,2.014872828634536,630.0,PRI,0.0,
Rhode Island,US,2021-03-19 05:30:59,41.6809,-71.5118,132616,2594,,,44.0,12518.489919866786,3277327.0,,1.9560234059238704,84000044.0,USA,309368.28899685753,
South Carolina,US,2021-03-19 05:30:59,33.8569,-80.945,537498,8938,,,45.0,10439.461193610676,5376302.0,,1.6628899084275663,84000045.0,USA,104420.28825061947,
South Dakota,US,2021-03-19 05:30:59,44.2998,-99.4388,115203,1919,,,46.0,13022.305769793787,713941.0,,1.665755232068609,84000046.0,USA,80702.39493409324,
Tennessee,US,2021-03-19 05:30:59,35.7478,-86.6923,796624,11681,,,47.0,11665.012489065295,7026813.0,,1.4663128401855832,84000047.0,USA,102894.03960127538,
Texas,US,2021-03-19 05:30:59,31.0545,-97.5635,2745694,47025,,,48.0,9469.255305607028,20486161.0,,1.7126817482210326,84000048.0,USA,70651.96949870225,
Utah,US,2021-03-19 05:30:59,40.15,-111.8624,380340,2041,,,49.0,11863.536577834146,2985214.0,,0.5366251248882579,84000049.0,USA,93114.56981033439,
Vermont,US,2021-03-19 05:30:59,44.0459,-72.7107,17247,217,,,50.0,2763.9910318931898,1203609.0,,1.2581898301153824,84000050.0,USA,192889.45798724017,
Virgin Islands,US,2021-03-19 05:30:59,18.3358,-64.8963,2767,25,,,78.0,2579.5204534437107,49907.0,,0.9035056017347308,850.0,VIR,46525.52485363762,
