Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-02-22 05:30:43,32.3182,-86.9023,486843,9592,275245.0,202006.0,1.0,9929.117502195002,2257675.0,,1.970245027657787,84000001.0,USA,46045.07070404237,
Alaska,US,2021-02-22 05:30:43,61.3707,-152.4044,57393,289,,57104.0,2.0,7845.450382409832,1629829.0,,0.5035457285731709,84000002.0,USA,222792.7195182798,
American Samoa,US,2021-02-22 05:30:43,-14.271,-170.132,0,0,,0.0,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-02-22 05:30:43,33.7298,-111.4312,807967,15505,114497.0,677965.0,4.0,11100.404095941632,7433448.0,,1.9190140191369205,84000004.0,USA,50748.188176570126,
Arkansas,US,2021-02-22 05:30:43,34.9697,-92.3731,315514,5357,304460.0,5697.0,5.0,10455.085883642543,2602624.0,,1.6978644370772766,84000005.0,USA,86242.31394749295,
California,US,2021-02-22 08:30:43,36.1162,-119.6816,3531846,49345,,3482501.0,6.0,8938.616285902213,47043348.0,,1.3971447226181437,84000006.0,USA,119060.24118157057,
Colorado,US,2021-02-22 05:30:43,39.0598,-105.3111,420614,5892,22316.0,392406.0,8.0,7303.9291955734725,6011339.0,,1.4008092930810672,84000008.0,USA,104386.43132798586,
Connecticut,US,2021-02-22 05:30:43,41.5978,-72.7554,273101,7523,9800.0,255778.0,9.0,7660.000443162079,6440305.0,,2.7546585329237168,84000009.0,USA,180639.17434977886,
Delaware,US,2021-02-22 05:30:43,39.3185,-75.5071,84732,1367,,83365.0,10.0,8701.492353383366,1356971.0,,1.6133220034933673,84000010.0,USA,139353.16976187247,
Diamond Princess,US,2021-02-22 05:30:43,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-02-22 05:30:43,38.8974,-77.0268,39648,995,28365.0,10288.0,11.0,5617.8613076320335,1195253.0,,2.5095843422114608,84000011.0,USA,169359.5031661398,
Florida,US,2021-02-22 05:30:43,27.7663,-81.6868,1868772,29906,,1838866.0,12.0,8700.972546595574,21132651.0,,1.6003022305556804,84000012.0,USA,98393.2851026158,
Georgia,US,2021-02-22 05:30:43,33.0406,-83.6431,985505,16744,,968761.0,13.0,9281.960415441676,7042229.0,,1.6990274021948135,84000013.0,USA,66327.10216028879,
Grand Princess,US,2021-02-22 05:30:43,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-02-22 05:30:43,13.4443,144.7937,7715,130,7528.0,57.0,66.0,4697.708687259863,114714.0,,1.685029163966299,316.0,GUM,69850.02648740479,
Hawaii,US,2021-02-22 05:30:43,21.0943,-157.4983,27361,430,,26931.0,15.0,1932.4486959273154,1063576.0,,1.5715799861116186,84000015.0,USA,75118.08977082674,
Idaho,US,2021-02-22 05:30:43,44.2405,-114.4788,169150,1826,91926.0,75398.0,16.0,9465.240492091782,630724.0,,1.079515223174697,84000016.0,USA,35293.847733574315,
Illinois,US,2021-02-22 05:30:43,40.3495,-88.9861,1174330,22466,,1151864.0,17.0,9267.255274518162,17622800.0,,1.9130908688358468,84000017.0,USA,139070.77759384384,
Indiana,US,2021-02-22 05:30:43,39.8494,-86.2583,655541,12372,427828.0,215341.0,18.0,9737.368912092728,7754038.0,,1.8872961416600944,84000018.0,USA,115178.04159371526,
Iowa,US,2021-02-22 05:30:43,42.0115,-93.2105,332760,5336,309192.0,44997.0,19.0,11395.151296167756,1300171.0,,1.4841805159585564,84000019.0,USA,41208.943066239415,
Kansas,US,2021-02-22 05:30:43,38.5266,-96.7265,293215,4573,6206.0,282436.0,20.0,10064.654891302482,1238423.0,,1.5596064321402383,84000020.0,USA,42509.08072387666,
Kentucky,US,2021-02-22 05:30:43,37.6681,-84.6701,396997,4447,46753.0,345797.0,21.0,8885.99053690814,3807556.0,,1.1201595981833616,84000021.0,USA,85224.59007183381,
Louisiana,US,2021-02-22 05:30:43,31.1695,-91.8678,424176,9466,396834.0,17876.0,22.0,9124.430981454543,5416687.0,,2.23162083663385,84000022.0,USA,116518.1120092652,
