Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-02-21 05:30:53,32.3182,-86.9023,485986,9590,275245.0,201151.0,1.0,9911.639067259342,2253891.0,,1.9733078730663025,84000001.0,USA,45967.896377558674,
Alaska,US,2021-02-21 05:30:53,61.3707,-152.4044,57393,289,,57104.0,2.0,7845.450382409832,1629829.0,,0.5035457285731709,84000002.0,USA,222792.7195182798,
American Samoa,US,2021-02-21 05:30:53,-14.271,-170.132,0,0,,0.0,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-02-21 05:30:53,33.7298,-111.4312,806163,15480,114119.0,676564.0,4.0,11075.619508218277,7396328.0,,1.92020720375408,84000004.0,USA,50601.101815058886,
Arkansas,US,2021-02-21 05:30:53,34.9697,-92.3731,315230,5348,303777.0,6105.0,5.0,10445.675067035501,2600443.0,,1.6965390349903244,84000005.0,USA,86170.04285235224,
California,US,2021-02-21 08:31:19,36.1162,-119.6816,3527338,49120,,3478218.0,6.0,8927.207158149517,46813876.0,,1.3925515502058492,84000006.0,USA,118479.47912219467,
Colorado,US,2021-02-21 05:30:53,39.0598,-105.3111,419812,5887,22270.0,391655.0,8.0,7290.002528332608,5987245.0,,1.4022943603327205,84000008.0,USA,103968.04090342046,
Connecticut,US,2021-02-21 05:30:53,41.5978,-72.7554,273101,7523,9800.0,255778.0,9.0,7660.000443162079,6440305.0,,2.7546585329237168,84000009.0,USA,180639.17434977886,
Delaware,US,2021-02-21 05:30:53,39.3185,-75.5071,84531,1366,,83165.0,10.0,8680.850801631606,1348654.0,,1.6159752043628963,84000010.0,USA,138499.06137421387,
Diamond Princess,US,2021-02-21 05:30:53,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-02-21 05:30:53,38.8974,-77.0268,39553,994,28298.0,10261.0,11.0,5604.400431314815,1191009.0,,2.51308371046444,84000011.0,USA,168758.15622834748,
Florida,US,2021-02-21 05:30:53,27.7663,-81.6868,1863707,29813,,1833894.0,12.0,8677.389987595061,21059797.0,,1.5996613201538654,84000012.0,USA,98054.07804369707,
Georgia,US,2021-02-21 05:30:53,33.0406,-83.6431,983747,16742,,967005.0,13.0,9265.402725312913,7019510.0,,1.7018603360416855,84000013.0,USA,66113.12368359066,
Grand Princess,US,2021-02-21 05:30:53,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-02-21 05:30:53,13.4443,144.7937,7715,130,7528.0,57.0,66.0,4697.708687259863,114710.0,,1.685029163966299,316.0,GUM,69847.59086397653,
Hawaii,US,2021-02-21 05:30:53,21.0943,-157.4983,27297,429,,26868.0,15.0,1927.9285133119376,1054099.0,,1.5716012748653698,84000015.0,USA,74448.74960448402,
Idaho,US,2021-02-21 05:30:53,44.2405,-114.4788,169150,1826,91637.0,75687.0,16.0,9465.240492091782,629647.0,,1.079515223174697,84000016.0,USA,35233.58131909024,
