Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-03-16 05:31:04,32.3182,-86.9023,508229,10329,,,1.0,10365.282974230016,2349843.0,,2.03235155805749,84000001.0,USA,47924.82845334206,
Alaska,US,2021-03-16 05:31:04,61.3707,-152.4044,60655,306,,,2.0,8282.607358399006,1780353.0,,0.5050254988364609,84000002.0,USA,243368.89733372518,
American Samoa,US,2021-03-16 05:31:04,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-03-16 05:31:04,33.7298,-111.4312,833381,16553,,,4.0,11449.559036297194,8134653.0,,1.9862463867066804,84000004.0,USA,111759.43507626413,
Arkansas,US,2021-03-16 05:31:04,34.9697,-92.3731,327060,5481,,,5.0,10837.681970068299,2775973.0,,1.6758392955421024,84000005.0,USA,91986.52397571217,
California,US,2021-03-16 08:30:54,36.1162,-119.6816,3626027,56521,,,6.0,9176.975438714242,51099687.0,,1.5629778818525069,84000006.0,USA,129326.27708646006,
Colorado,US,2021-03-16 05:31:04,39.0598,-105.3111,444390,6040,,,8.0,7716.797575023408,6588233.0,,1.3591664978959923,84000008.0,USA,114404.15049413619,
Connecticut,US,2021-03-16 05:31:04,41.5978,-72.7554,293102,7788,,,9.0,8220.993148658159,6697955.0,,2.657095482118853,84000009.0,USA,187865.80154697227,
Delaware,US,2021-03-16 05:31:04,39.3185,-75.5071,90614,1511,,,10.0,9305.540151412457,1476735.0,,1.6675127463747323,84000010.0,USA,151652.24838872664,
Diamond Princess,US,2021-03-16 05:31:04,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-03-16 05:31:04,38.8974,-77.0268,42623,1042,,,11.0,6039.399276513322,1301179.0,,2.4446894868967464,84000011.0,USA,184368.52195327234,
Florida,US,2021-03-16 05:31:04,27.7663,-81.6868,1979634,32348,,,12.0,9217.144245690317,22890137.0,,1.634039423448981,84000012.0,USA,106576.11181289724,
Georgia,US,2021-03-16 05:31:04,33.0406,-83.6431,1034763,18262,,,13.0,9745.8959674113,7490072.0,,1.7648485691892732,84000013.0,USA,70545.10308198137,
Grand Princess,US,2021-03-16 05:31:04,,,103,3,,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
