Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-09-14 04:30:37,32.3182,-86.9023,137861,2351,54223.0,82181.0,1.0,2829.895261957279,1023187.0,,1.6943533566357971,84000001,USA,20867.80327481015,
Alaska,US,2020-09-14 04:30:37,61.3707,-152.4044,6268,44,2377.0,3847.0,2.0,856.816737179531,401213.0,,0.7019783024888322,84000002,USA,54844.60969591754,
American Samoa,US,2020-09-14 04:30:37,-14.271,-170.132,0,0,,0.0,60.0,0.0,1571.0,,,16,ASM,2823.457522330656,
Arizona,US,2020-09-14 04:30:37,33.7298,-111.4312,208512,5322,32817.0,170373.0,4.0,2864.680684796511,1296137.0,,2.5523710865561693,84000004,USA,17807.217947888344,
Arkansas,US,2020-09-14 04:30:37,34.9697,-92.3731,70219,981,63063.0,6175.0,5.0,2326.824406091317,828221.0,,1.3970577763853091,84000005,USA,27444.492750357545,
California,US,2020-09-14 04:30:37,36.1162,-119.6816,761728,14378,,747350.0,6.0,1927.828763266496,12690016.0,,1.8875504116955133,84000006,USA,32116.68450038865,
Colorado,US,2020-09-14 04:30:37,39.0598,-105.3111,61313,1988,6156.0,53149.0,8.0,1064.348148621503,1111572.0,,3.24343726037231,84000008,USA,19302.36079584131,
Connecticut,US,2020-09-14 04:30:37,41.5978,-72.7554,54326,4480,9142.0,40704.0,9.0,1523.748298524074,1330984.0,,8.246511799138535,84000009,USA,37331.74916914122,
Delaware,US,2020-09-14 04:30:37,39.3185,-75.5071,18849,615,10077.0,8157.0,10.0,1935.684621735862,261296.0,,3.2627725608785614,84000010,USA,26833.60650013761,
Diamond Princess,US,2020-09-14 04:30:37,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,2020-09-14 04:30:37,38.8974,-77.0268,14592,616,11574.0,2402.0,11.0,2067.5906023246225,330641.0,,4.221491228070176,84000011,USA,46849.65901474887,
Florida,US,2020-09-14 04:30:37,27.7663,-81.6868,663994,12608,,651386.0,12.0,3091.545445407028,4923930.0,,1.8988123386657108,84000012,USA,22925.739336504586,
Georgia,US,2020-09-14 04:30:37,33.0406,-83.6431,294314,6333,,287981.0,13.0,2771.990905891194,2602202.0,,2.151783469355858,84000013,USA,24508.790880800363,
Grand Princess,US,2020-09-14 04:30:37,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-09-14 04:30:37,13.4443,144.7937,1863,23,1118.0,722.0,66.0,1134.3916117129131,43363.0,,1.2345679012345678,316,GUM,26403.98467992864,
Hawaii,US,2020-09-14 04:30:37,21.0943,-157.4983,10700,99,3418.0,7183.0,15.0,755.7180310084527,255399.0,,0.9252336448598132,84000015,USA,18038.283121638116,
Idaho,US,2020-09-14 04:30:37,44.2405,-114.4788,35279,415,18406.0,16458.0,16.0,1974.1307674874724,277123.0,,1.1763371977663766,84000016,USA,15507.158385397284,
Illinois,US,2020-09-14 04:30:37,40.3495,-88.9861,263459,8541,,254918.0,17.0,2079.093446790323,4737961.0,,3.241870651600439,84000017,USA,37389.74059055917,
Indiana,US,2020-09-14 04:30:37,39.8494,-86.2583,105804,3438,81405.0,20961.0,18.0,1571.6066277701307,1238984.0,,3.2494045593739367,84000018,USA,18403.798212743823,
Iowa,US,2020-09-14 04:30:37,42.0115,-93.2105,74676,1220,53151.0,20305.0,19.0,2366.857153724006,683445.0,,1.633724355884086,84000019,USA,21661.801481425136,
Kansas,US,2020-09-14 04:30:37,38.5266,-96.7265,48721,528,1859.0,46379.0,20.0,1673.9012684523534,448930.0,,1.082721568305787,84000020,USA,15409.598828001377,
Kentucky,US,2020-09-14 04:30:37,37.6681,-84.6701,56945,1060,10872.0,45013.0,21.0,1274.6008940224588,930752.0,,1.861445254192642,84000021,USA,20833.03769098589,
Louisiana,US,2020-09-14 04:30:37,31.1695,-91.8678,157455,5235,140440.0,11780.0,22.0,3387.0074690339043,2066730.0,,3.3247594550824044,84000022,USA,44457.33667699623,
Maine,US,2020-09-14 04:30:37,44.6939,-69.3819,4863,136,4226.0,501.0,23.0,361.7732917129143,330168.0,,2.7966275961340736,84000023,USA,24562.19703439636,
Maryland,US,2020-09-14 04:30:37,39.0639,-76.8021,116110,3838,7225.0,105047.0,24.0,1920.5449180241094,1455845.0,,3.3054861769012143,84000024,USA,24080.748567572216,
Massachusetts,US,2020-09-14 04:30:37,42.2302,-71.5301,124826,9210,107501.0,8115.0,25.0,1811.0401983140232,3006158.0,,7.378270552609233,84000025,USA,43614.89577879038,
Michigan,US,2020-09-14 04:30:37,43.3266,-84.5361,123058,6911,85513.0,30634.0,26.0,1232.19947977627,3110610.0,,5.616050967836305,84000026,USA,31147.036550137847,
Minnesota,US,2020-09-14 04:30:37,45.6945,-93.9002,84311,1971,77461.0,4879.0,27.0,1494.9734308905265,1233305.0,,2.337773244297897,84000027,USA,21868.536812331015,
Mississippi,US,2020-09-14 04:30:37,32.7416,-89.6787,89874,2697,74098.0,13079.0,28.0,3019.8084840510332,622793.0,,3.0008678817010486,84000028,USA,20926.13642663724,
Missouri,US,2020-09-14 04:30:37,38.4561,-92.2884,103997,1731,,102266.0,29.0,1694.4720166167324,1128700.0,,1.6644710905122264,84000029,USA,18390.439773794496,
Montana,US,2020-09-14 04:30:37,46.9219,-110.4544,9021,135,6830.0,2056.0,30.0,844.0480623665532,280124.0,,1.4965081476554705,84000030,USA,26209.746083845293,
Nebraska,US,2020-09-14 04:30:37,41.1254,-98.2681,38188,434,29167.0,8587.0,31.0,1974.1440275267678,400684.0,,1.1364826647114277,84000031,USA,20713.52062232993,
Nevada,US,2020-09-14 04:30:37,38.3135,-117.0554,73537,1452,1930.0,70155.0,32.0,2387.4440125759866,642075.0,,1.974516229925072,84000032,USA,20845.535096274343,
New Hampshire,US,2020-09-14 04:30:37,43.4525,-71.5639,7696,436,6953.0,307.0,33.0,566.0026284997326,230542.0,,5.665280665280665,84000033,USA,16955.220631443004,
New Jersey,US,2020-09-14 04:30:37,40.2989,-74.521,200795,16031,34430.0,146173.0,34.0,2213.800875684938,3168530.0,,8.15271011117101,84000034,USA,35672.846448905046,
New Mexico,US,2020-09-14 04:30:37,34.8405,-106.2485,26761,823,14396.0,11542.0,35.0,1276.2604866682022,817270.0,,3.0753708755278204,84000035,USA,38976.47352263823,
New York,US,2020-09-14 04:30:37,42.1657,-74.9481,446862,33023,75767.0,335575.0,36.0,2284.2347475611277,9318293.0,,7.431503381229395,84000036,USA,47900.19164100599,
North Carolina,US,2020-09-14 04:30:37,35.6301,-79.8064,184936,3052,156652.0,25232.0,37.0,1763.2963275275065,2616108.0,,1.6503006445473027,84000037,USA,24943.62173300672,
North Dakota,US,2020-09-14 04:30:37,47.5289,-99.784,15577,168,12655.0,2754.0,38.0,2044.059407239831,523570.0,,1.0785131925274445,84000038,USA,68704.38363282777,
Northern Mariana Islands,US,2020-09-14 04:30:37,15.0979,145.6739,60,2,29.0,29.0,69.0,108.80603510808065,14376.0,,3.333333333333333,580,MNP,26069.926011896125,
Ohio,US,2020-09-14 04:30:37,40.3888,-82.7649,137405,4415,114906.0,18084.0,39.0,1175.49683038044,2593830.0,,3.2131290709945053,84000039,USA,22190.160063649044,
