Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-09-18 05:10:31,32.3182,-86.9023,141454,2401,61232.0,78124.0,1.0,2891.1207714985253,1044913.0,,1.693743518838576,84000001,USA,21310.903015081014,
Alaska,US,2020-09-18 05:10:31,61.3707,-152.4044,6537,44,2408.0,4085.0,2.0,893.5882276551683,415863.0,,0.6730916322472082,84000002,USA,56847.22060843831,
American Samoa,US,2020-09-18 05:10:31,-14.271,-170.132,0,0,,0.0,60.0,0.0,1571.0,,,16,ASM,2823.457522330656,
Arizona,US,2020-09-18 05:10:31,33.7298,-111.4312,211660,5409,33381.0,172870.0,4.0,2907.9300651474705,1352882.0,,2.5555135594821885,84000004,USA,18586.81962768988,
Arkansas,US,2020-09-18 05:10:31,34.9697,-92.3731,73211,1166,64145.0,7900.0,5.0,2425.969347247204,856918.0,,1.5926568411850681,84000005,USA,28395.41600448538,
California,US,2020-09-18 05:10:31,36.1162,-119.6816,775037,14804,,760233.0,6.0,1961.512011106032,13080037.0,,1.9101023564036297,84000006,USA,33103.77398912737,
Colorado,US,2020-09-18 05:10:31,39.0598,-105.3111,63145,2006,6220.0,54899.0,8.0,1096.160685261488,1153853.0,,3.1778217821782184,84000008,USA,20036.567052214235,
Connecticut,US,2020-09-18 05:10:31,41.5978,-72.7554,55386,4488,9204.0,41694.0,9.0,1553.4794253590244,1408273.0,,8.103130755064457,84000009,USA,39499.56903890206,
Delaware,US,2020-09-18 05:10:31,39.3185,-75.5071,19318,619,10193.0,8506.0,10.0,1983.8482424899667,267168.0,,3.2042654519101355,84000010,USA,27436.62735529348,
Diamond Princess,US,2020-09-18 05:10:31,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,2020-09-18 05:10:31,38.8974,-77.0268,14790,619,11763.0,2408.0,11.0,2095.645902438402,341318.0,,4.1852603110209605,84000011,USA,48362.51981936921,
Florida,US,2020-09-18 05:10:31,27.7663,-81.6868,674456,13086,,661370.0,12.0,3140.256350098709,5010973.0,,1.9402303486068773,84000012,USA,23331.01015251281,
Georgia,US,2020-09-18 05:10:31,33.0406,-83.6431,300903,6474,,294429.0,13.0,2834.049279189498,2679891.0,,2.1515239130218045,84000013,USA,25240.503274664672,
Grand Princess,US,2020-09-18 05:10:31,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999,USA,,
Guam,US,2020-09-18 05:10:31,13.4443,144.7937,2045,30,1427.0,588.0,66.0,1245.212477698823,45253.0,,1.4669926650366751,316,GUM,27554.81674978232,
Hawaii,US,2020-09-18 05:10:31,21.0943,-157.4983,11105,107,4105.0,6893.0,15.0,784.3223116213894,265500.0,,0.9635299414678072,84000015,USA,18751.69506848077,
Idaho,US,2020-09-18 05:10:31,44.2405,-114.4788,36489,434,19405.0,16650.0,16.0,2041.8395525624414,283365.0,,1.1893995450683768,84000016,USA,15856.446184106342,
Illinois,US,2020-09-18 05:10:31,40.3495,-88.9861,270294,8624,,261670.0,17.0,2133.032024363349,4923033.0,,3.190599865331824,84000017,USA,38850.24101902955,
Indiana,US,2020-09-18 05:10:31,39.8494,-86.2583,108646,3478,85334.0,19834.0,18.0,1613.8215349203585,1269650.0,,3.201222318355025,84000018,USA,18859.30924112837,
Iowa,US,2020-09-18 05:10:31,42.0115,-93.2105,77204,1250,55834.0,20120.0,19.0,2446.982158874447,701438.0,,1.6190870939329567,84000019,USA,22232.08993778268,
