Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-06-04 04:32:01,32.3182,-86.9023,545028,11188,,,1.0,11115.795141321409,2621383.0,,2.0527385748989038,84000001.0,USA,53462.86138499771,
Alaska,US,2021-06-04 04:32:01,61.3707,-152.4044,70408,369,,,2.0,9624.561715273838,2280251.0,,0.5240881717986593,84000002.0,USA,311703.4495485582,
American Samoa,US,2021-06-04 04:32:01,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-06-04 04:32:01,33.7298,-111.4312,882691,17653,,,4.0,12127.013593192318,9747806.0,,1.9999071022588881,84000004.0,USA,133922.03598518803,
Arkansas,US,2021-06-04 04:32:01,34.9697,-92.3731,341889,5842,,,5.0,11329.065771004349,3058563.0,,1.7087417261157858,84000005.0,USA,101350.6178665016,
California,US,2021-06-04 07:31:53,36.1162,-119.6816,3792962,62915,,,6.0,9599.464955439233,65931989.0,,1.670066823764646,84000006.0,USA,166864.79269971725,
Colorado,US,2021-06-04 04:32:01,39.0598,-105.3111,545002,6603,,,8.0,9463.917081804062,8615508.0,,1.2115551869534424,84000008.0,USA,149607.6222282112,
Connecticut,US,2021-06-04 04:32:01,41.5978,-72.7554,347748,8245,,,9.0,9753.716881698443,8504048.0,,2.3709697827162204,84000009.0,USA,238523.51858349692,
Delaware,US,2021-06-04 04:32:01,39.3185,-75.5071,108957,1668,,,10.0,11189.261463763294,1849363.0,,1.5308791541617337,84000010.0,USA,189919.01528501773,
Diamond Princess,US,2021-06-04 04:32:01,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-06-04 04:32:01,38.8974,-77.0268,49041,1136,,,11.0,6948.7877418175585,1626315.0,,2.3164291103362493,84000011.0,USA,230438.15860879718,
Florida,US,2021-06-04 04:32:01,27.7663,-81.6868,2329867,36973,,,12.0,10847.823492763691,24291797.0,,1.5869146178730371,84000012.0,USA,113102.21835754855,
Georgia,US,2021-06-04 04:32:01,33.0406,-83.6431,1125017,20900,,,13.0,10595.951578834149,8797273.0,,1.8577497051155671,84000013.0,USA,82856.95125832323,
Grand Princess,US,2021-06-04 04:32:01,,,103,3,,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-06-04 04:32:01,13.4443,144.7937,8193,139,,,66.0,4988.765686937143,155264.0,,1.6965702428902725,316.0,GUM,94541.15899140836,
