Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-07 02:32:32,32.3182,-86.9023,8769,343,,8348.0,1,185.35275993479917,109516,1158,3.9466114371188588,84000001,USA,2335.645248765328,13.324128408698654
Alaska,US,2020-05-07 02:32:32,61.3707,-152.4044,372,10,284,78.0,2,62.23347926972693,23655,,2.6881720430107525,84000002,USA,3957.3466454983613,
American Samoa,US,2020-05-07 02:32:32,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,83,,,16,ASM,149.17057565464316,
Arizona,US,2020-05-07 02:32:32,33.7298,-111.4312,9707,426,1693,7588.0,4,133.36141520545448,91737,1430,4.38858555681467,84000004,USA,1260.3457449987409,14.73163696301638
Arkansas,US,2020-05-07 02:32:32,34.9697,-92.3731,3611,87,2109,1415.0,5,139.4732461268268,59003,453,2.409304901689283,84000005,USA,2278.9642595461537,12.54500138465799
California,US,2020-05-07 02:32:32,36.1162,-119.6816,61245,2464,,58152.0,6,154.59865713202862,809036,,4.064933350930447,84000006,USA,2063.4136064977547,
Colorado,US,2020-05-07 02:32:32,39.0598,-105.3111,17832,919,2801,14112.0,8,314.6742269420219,85976,2919,5.1536563481381785,84000008,USA,1517.1843503570701,16.369448183041722
Connecticut,US,2020-05-07 02:32:32,41.5978,-72.7554,30995,2718,4346,23931.0,9,869.3549775936692,111447,7758,8.769156315534763,84000009,USA,3125.891407900682,25.029843523148894
Delaware,US,2020-05-07 02:32:32,39.3185,-75.5071,5778,193,2008,3577.0,10,593.367592147584,26468,,3.340256143994462,84000010,USA,2718.112396843588,
Diamond Princess,US,2020-05-07 02:32:32,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-07 02:32:32,38.8974,-77.0268,5461,277,808,4376.0,11,773.7878480876345,24984,,5.072331074894708,84000011,USA,3540.068777993309,
Florida,US,2020-05-07 02:32:32,27.7663,-81.6868,38002,1539,,36463.0,12,178.97944322048835,480051,6776,4.049786853323509,84000012,USA,2260.914180765187,17.830640492605653
Georgia,US,2020-05-07 02:32:32,33.0406,-83.6431,30743,1327,,29416.0,13,303.20355469010815,204137,5765,4.316429756367303,84000013,USA,2013.3059247235017,18.75223628142992
Grand Princess,US,2020-05-07 02:32:32,,,103,3,,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-05-07 02:32:32,13.4443,144.7937,149,5,123,21.0,66,90.72697270275043,3627,,3.3557046979865772,316,GUM,2208.5015435763476,
Hawaii,US,2020-05-07 02:32:32,21.0943,-157.4983,626,17,551,58.0,15,44.21572186757038,35199,73,2.7156549520766773,84000015,USA,2486.1808211127955,11.661341853035143
Idaho,US,2020-05-07 02:32:32,44.2405,-114.4788,2158,66,1379,713.0,16,133.9959031280406,30545,203,3.0583873957367933,84000016,USA,1896.6194907534755,9.406858202038926
Illinois,US,2020-05-07 02:32:32,40.3495,-88.9861,68232,2974,,65258.0,17,581.4077836145973,361260,,4.35865869386798,84000017,USA,3078.3118757856932,
Indiana,US,2020-05-07 02:32:32,39.8494,-86.2583,21870,1377,,20493.0,18,334.1995729213688,120496,,6.296296296296297,84000018,USA,1841.3219816521837,
Iowa,US,2020-05-07 02:32:32,42.0115,-93.2105,10404,219,3803,6382.0,19,396.99120048627987,63171,,2.104959630911188,84000019,USA,2410.4508963781996,
Kansas,US,2020-05-07 02:32:32,38.5266,-96.7265,5993,164,318,5511.0,20,245.76704908943574,42114,571,2.7365259469380945,84000020,USA,1727.0538136747034,9.52778241281495
Kentucky,US,2020-05-07 02:32:32,37.6681,-84.6701,5934,283,2058,3593.0,21,173.341360668337,61014,1603,4.769127064374789,84000021,USA,1782.3137478628096,27.01381867205932
