Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-23 05:15:18,32.3182,-86.9023,72594,1364,29736,40713.0,1,1464.6194259445647,609488,8538,1.8993775500257613,84000001,USA,12430.45081921241,11.889212259618732
Alaska,US,2020-07-23 05:15:18,61.3707,-152.4044,2131,19,753,1359.0,2,291.30128700216665,185333,,0.8916001877053027,84000002,USA,25334.46336178909,
American Samoa,US,2020-07-23 05:15:18,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,1037,,,16,ASM,1863.7335777574092,
Arizona,US,2020-07-23 05:15:18,33.7298,-111.4312,150609,2974,19293,128342.0,4,2069.169607775656,813981,7047,1.9746495893339708,84000004,USA,11183.028547476155,4.67900324681792
Arkansas,US,2020-07-23 05:15:18,34.9697,-92.3731,35246,380,27990,6876.0,5,1167.9353596191138,440226,2317,1.0781365261306248,84000005,USA,14587.627294549282,6.573795608012257
California,US,2020-07-23 05:15:18,36.1162,-119.6816,428241,8047,,413239.0,6,1066.216902045729,6664419,,1.9101038249550186,84000006,USA,16866.72754403112,
Colorado,US,2020-07-23 05:15:18,39.0598,-105.3111,41698,1771,5064,34845.0,8,723.7699384031496,457402,6110,4.249040307101727,84000008,USA,7942.749936791685,14.659309021113243
Connecticut,US,2020-07-23 05:15:18,41.5978,-72.7554,48223,4406,8466,35351.0,9,1352.5699333602035,674406,10654,9.136718993011634,84000009,USA,18915.896532312825,22.09319204528959
Delaware,US,2020-07-23 05:15:18,39.3185,-75.5071,13792,590,7859,5406.0,10,1416.3596107475732,159433,,3.8210556844547563,84000010,USA,16372.858310637896,
Diamond Princess,US,2020-07-23 05:15:18,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-07-23 05:15:18,38.8974,-77.0268,11529,580,1974,8975.0,11,1633.5836111705437,159572,,5.030791916037818,84000011,USA,22610.304796747852,
