Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-03-20 05:31:09,32.3182,-86.9023,510579,10425,,,1.0,10413.21100468369,2367598.0,,2.0417996039790123,84000001.0,USA,48286.940019599504,
Alaska,US,2021-03-20 05:31:09,61.3707,-152.4044,61086,310,,,2.0,8350.272368753802,1820986.0,,0.5074812559342566,84000002.0,USA,248923.30615341503,
American Samoa,US,2021-03-20 05:31:09,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-03-20 05:31:09,33.7298,-111.4312,835030,16691,,,4.0,11472.214127846984,8219560.0,,1.9988503407063216,84000004.0,USA,112925.94560277589,
Arkansas,US,2021-03-20 05:31:09,34.9697,-92.3731,328273,5529,,,5.0,10877.876760717396,2799419.0,,1.6842688859577242,84000005.0,USA,92763.44653264427,
California,US,2021-03-20 08:31:02,36.1162,-119.6816,3637726,57350,,,6.0,9206.583998070673,51601716.0,,1.5765343514052461,84000006.0,USA,130596.84341222714,
Colorado,US,2021-03-20 05:31:09,39.0598,-105.3111,448362,6065,,,8.0,7785.771044201367,6643515.0,,1.3527016116441626,84000008.0,USA,115364.1180981382,
Connecticut,US,2021-03-20 05:31:09,41.5978,-72.7554,296691,7832,,,9.0,8321.658256404042,6839535.0,,2.6397834784337912,84000009.0,USA,191836.8703557385,
Delaware,US,2021-03-20 05:31:09,39.3185,-75.5071,91635,1522,,,10.0,9410.391018768409,1500896.0,,1.660937414743275,84000010.0,USA,154133.44506471793,
Diamond Princess,US,2021-03-20 05:31:09,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-03-20 05:31:09,38.8974,-77.0268,43034,1047,,,11.0,6097.635278264652,1314784.0,,2.432959985128038,84000011.0,USA,186296.2611353328,
Florida,US,2021-03-20 05:31:09,27.7663,-81.6868,1999257,32651,,,12.0,9308.508619879272,23179407.0,,1.6331567177206332,84000012.0,USA,107922.94830689099,
Georgia,US,2021-03-20 05:31:09,33.0406,-83.6431,1042417,18464,,,13.0,9817.985023296143,7568654.0,,1.7712681201476952,84000013.0,USA,71285.2261796483,
Grand Princess,US,2021-03-20 05:31:09,,,103,3,,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-03-20 05:31:09,13.4443,144.7937,7780,134,,,66.0,4737.287567969116,126494.0,,1.7223650385604112,316.0,GUM,77022.93748363566,
Hawaii,US,2021-03-20 05:31:09,21.0943,-157.4983,28964,451,,,15.0,2045.6651448718528,1199823.0,,1.5571053721861619,84000015.0,USA,84740.9229082855,
Idaho,US,2021-03-20 05:31:09,44.2405,-114.4788,177185,1941,,,16.0,9914.860399593746,661299.0,,1.0954651917487372,84000016.0,USA,37004.753604373655,
Illinois,US,2021-03-20 05:31:09,40.3495,-88.9861,1218387,23304,,,17.0,9614.93221850277,19389098.0,,1.9126927651066528,84000017.0,USA,153009.56350314608,
Indiana,US,2021-03-20 05:31:09,39.8494,-86.2583,676247,12922,,,18.0,10044.934664187249,8556561.0,,1.9108402699013824,84000018.0,USA,127098.67281501091,
Iowa,US,2021-03-20 05:31:09,42.0115,-93.2105,345304,5672,,,19.0,10944.416447178668,1347691.0,,1.6426105692375417,84000019.0,USA,42715.09031495339,
