Country_Region,Grouping1,Grouping2
Taiwan*,Asia,East Asia
Afghanistan,Asia,South Asia
Bangladesh,Asia,South Asia
Bhutan,Asia,South Asia
India,Asia,South Asia
Maldives,Asia,South Asia
Nepal,Asia,South Asia
Pakistan,Asia,South Asia
Sri Lanka,Asia,South Asia
Brunei Darussalam,Asia,Southeast Asia
Cambodia,Asia,Southeast Asia
Indonesia,Asia,Southeast Asia
Laos,Asia,Southeast Asia
Malaysia,Asia,Southeast Asia
Burma,Asia,Southeast Asia
Philippines,Asia,Southeast Asia
Singapore,Asia,Southeast Asia
Thailand,Asia,Southeast Asia
Timor-Leste,Asia,Southeast Asia
Vietnam,Asia,Southeast Asia
Brunei,Asia,Southeast Asia
Armenia,Asia,Western Asia
Azerbaijan,Asia,Western Asia
Georgia,Asia,Western Asia
Austria,Europe,EU
Belgium,Europe,EU
Bulgaria,Europe,EU
Cyprus,Europe,EU
Czechia,Europe,EU
Denmark,Europe,EU
Estonia,Europe,EU
Finland,Europe,EU
France,Europe,EU
Germany,Europe,EU
Greece,Europe,EU
Hungary,Europe,EU
Ireland,Europe,EU
Italy,Europe,EU
Latvia,Europe,EU
Lithuania,Europe,EU
Luxembourg,Europe,EU
Malta,Europe,EU
Netherlands,Europe,EU
Poland,Europe,EU
Portugal,Europe,EU
Romania,Europe,EU
Slovakia,Europe,EU
Slovenia,Europe,EU
Spain,Europe,EU
Sweden,Europe,EU
Bosnia and Herzegovina,Europe,Europe
Albania,Europe,Europe
Andorra,Europe,Europe
Belarus,Europe,Europe
Bosnia,Europe,Europe
Croatia,Europe,Europe
European Union,Europe,Europe
Faroe Islands,Europe,Europe
Gibraltar,Europe,Europe
Guerney and Alderney,Europe,Europe
Iceland,Europe,Europe
Jersey,Europe,Europe
Kosovo,Europe,Europe
Liechtenstein,Europe,Europe
"Man, Island of",Europe,Europe
Moldova,Europe,Europe
Monaco,Europe,Europe
Montenegro,Europe,Europe
North Macedonia,Europe,Europe
Norway,Europe,Europe
Russia,Europe,Europe
San Marino,Europe,Europe
Serbia,Europe,Europe
Svalbard and Jan Mayen Islands,Europe,Europe
Switzerland,Europe,Europe
Turkey,Europe,Europe
Ukraine,Europe,Europe
Holy See,Europe,Europe
United Kingdom,Europe,Europe
Bahrain,Middle East,Middle East
Iraq,Middle East,Middle East
Iran,Middle East,Middle East
Israel,Middle East,Middle East
Jordan,Middle East,Middle East
Kuwait,Middle East,Middle East
Lebanon,Middle East,Middle East
Oman,Middle East,Middle East
West Bank and Gaza,Middle East,Middle East
Qatar,Middle East,Middle East
Saudi Arabia,Middle East,Middle East
Syria,Middle East,Middle East
United Arab Emirates,Middle East,Middle East
Yemen,Middle East,Middle East
Belize,The Americas,Central America
Costa Rica,The Americas,Central America
El Salvador,The Americas,Central America
Guatemala,The Americas,Central America
Honduras,The Americas,Central America
Mexico,The Americas,Central America
Nicaragua,The Americas,Central America
Panama,The Americas,Central America
Bermuda,The Americas,Northern America
Canada,The Americas,Northern America
Greenland,The Americas,Northern America
Saint Pierre and Miquelon,The Americas,Northern America
US,The Americas,Northern America
Argentina,The Americas,South America
Bolivia,The Americas,South America
Brazil,The Americas,South America
Chile,The Americas,South America
Colombia,The Americas,South America
Ecuador,The Americas,South America
Falkland Islands (Malvinas),The Americas,South America
French Guiana,The Americas,South America
Guyana,The Americas,South America
Paraguay,The Americas,South America
Peru,The Americas,South America
Suriname,The Americas,South America
Uruguay,The Americas,South America
Venezuela,The Americas,South America
Anguilla,The Americas,The Caribbean
Antigua and Barbuda,The Americas,The Caribbean
Aruba,The Americas,The Caribbean
Bahamas,The Americas,The Caribbean
Barbados,The Americas,The Caribbean
"Bonaire, Saint Eustatius and Saba",The Americas,The Caribbean
British Virgin Islands,The Americas,The Caribbean
Cayman Islands,The Americas,The Caribbean
Cuba,The Americas,The Caribbean
Curaçao,The Americas,The Caribbean
Dominica,The Americas,The Caribbean
Dominican Republic,The Americas,The Caribbean
Grenada,The Americas,The Caribbean
Guadeloupe,The Americas,The Caribbean
Haiti,The Americas,The Caribbean
Jamaica,The Americas,The Caribbean
Martinique,The Americas,The Caribbean
Monserrat,The Americas,The Caribbean
Puerto Rico,The Americas,The Caribbean
Saint Barthelemy,The Americas,The Caribbean
Saint Kitts and Nevis,The Americas,The Caribbean
Saint Lucia,The Americas,The Caribbean
Saint Martin,The Americas,The Caribbean
Saint Vincent and the Grenadines,The Americas,The Caribbean
Sint Maarten,The Americas,The Caribbean
Trinidad and Tobago,The Americas,The Caribbean
Turks and Caicos Islands,The Americas,The Caribbean
Virgin Islands (US),The Americas,The Caribbean
Australia,Oceania,Oceania
Fiji,Oceania,Oceania
French Polynesia,Oceania,Oceania
Guam,Oceania,Oceania
Kiribati,Oceania,Oceania
Marshall Islands,Oceania,Oceania
Micronesia,Oceania,Oceania
New Caledonia,Oceania,Oceania
New Zealand,Oceania,Oceania
Papua New Guinea,Oceania,Oceania
Samoa,Oceania,Oceania
American Samoa,Oceania,Oceania
Solomon Islands,Oceania,Oceania
Tonga,Oceania,Oceania
Vanuatu,Oceania,Oceania
Palau,Oceania,Oceania
Tuvalu,Oceania,Oceania
Nauru,Oceania,Oceania
Niue,Oceania,Oceania
