Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/28/20 23:00,3554,125,80
Zhejiang,Mainland China,1/28/20 23:00,296,,3
Guangdong,Mainland China,1/28/20 23:00,241,,5
Hunan,Mainland China,1/28/20 23:00,221,,
Henan,Mainland China,1/28/20 23:00,206,2,1
Anhui,Mainland China,1/28/20 23:00,152,,
Chongqing,Mainland China,1/28/20 23:00,147,,1
Shandong,Mainland China,1/28/20 23:00,121,,
Jiangxi,Mainland China,1/28/20 23:00,109,,3
Sichuan,Mainland China,1/28/20 23:00,108,,
Jiangsu,Mainland China,1/28/20 23:00,99,,1
Beijing,Mainland China,1/28/20 23:00,91,1,4
Fujian,Mainland China,1/28/20 23:00,82,,
Shanghai,Mainland China,1/28/20 23:00,80,1,4
Guangxi,Mainland China,1/28/20 23:00,58,,2
Shaanxi,Mainland China,1/28/20 23:00,56,,
Hebei,Mainland China,1/28/20 23:00,48,1,
Yunnan,Mainland China,1/28/20 23:00,44,,
Hainan,Mainland China,1/28/20 23:00,43,1,
Heilongjiang,Mainland China,1/28/20 23:00,37,1,
Liaoning,Mainland China,1/28/20 23:00,36,,
Shanxi,Mainland China,1/28/20 23:00,27,,
Tianjin,Mainland China,1/28/20 23:00,25,,
Gansu,Mainland China,1/28/20 23:00,24,,
Inner Mongolia,Mainland China,1/28/20 23:00,16,,
Xinjiang,Mainland China,1/28/20 23:00,13,,
Ningxia,Mainland China,1/28/20 23:00,12,,
Guizhou,Mainland China,1/28/20 23:00,9,,
Jilin,Mainland China,1/28/20 23:00,9,,
Hong Kong,Hong Kong,1/28/20 23:00,8,,
Taiwan,Taiwan,1/28/20 23:00,8,,
Macau,Macau,1/28/20 23:00,7,,
Qinghai,Mainland China,1/28/20 23:00,6,,
Washington,US,1/28/20 18:00,1,,
Illinois,US,1/28/20 23:00,1,,
California,US,1/28/20 23:00,2,,
Arizona,US,1/28/20 23:00,1,,
,Japan,1/28/20 23:00,7,,1
,Thailand,1/28/20 23:00,14,,5
,South Korea,1/28/20 23:00,4,,
,Singapore ,1/28/20 23:00,7,,
,Vietnam,1/28/20 23:00,2,,
,France,1/28/20 23:00,4,,
,Nepal,1/28/20 23:00,1,,
,Malaysia ,1/28/20 23:00,7,,
Ontario,Canada,1/28/20 23:00,1,,
British Columbia,Canada,1/28/20 23:00,1,,
,Cambodia,1/28/20 23:00,1,,
,Sri Lanka,1/28/20 23:00,1,,
New South Wales,Australia,1/28/20 23:00,4,,
Victoria,Australia,1/28/20 23:00,1,,
Bavaria,Germany,1/28/20 23:00,4,,
